text,category,stereotype_type
этот нищеброд даже одеться нормально не может,stereotype,profession
"это та самая твоя подруга, которая друг еще не соблазнила тебя тоже трансгендером стать",stereotype,lgbtq
бабам место на кухне,stereotype,gender
это в тебе говорят еврейские корни,stereotype,nationality
эти украинцы совсем оборзели,stereotype,nationality
эти трансгендеры просто имеют психологические проблемы и не определились,stereotype,lgbtq
эти трансгендеры какие то неправильные,stereotype,lgbtq
"эти трансвеститы идут против своей природы, невозможно не любить свое тело от рождения",stereotype,lgbtq
"эти все гомосексуалисты просто хотят внимание привлечь, вот вырастут и сразу изменят свое мнение",stereotype,lgbtq
эстонцы всегда считали нас врагами,stereotype,nationality
"чтобы стать программистом, нужно много учиться и изучать новое",stereotype,profession
"чтобы стать пианистом, надо учиться музыке с самого детства",stereotype,profession
"чтобы стать музыкантом, нужно с семи лет начинать, иначе уже поздно",stereotype,profession
"чтобы стать доктором, нужно очень много учиться",stereotype,profession
"чтобы быть хорошим доктором, надо многому научиться",stereotype,profession
чтобы быть хирургом необходимо пройти многолетнюю практику,stereotype,profession
"чтобы быть танцором, нужно очень много тренировать свое тело и гибкость",stereotype,profession
"чтобы быть спасателем, надо быть сильным",stereotype,profession
"чтобы быть профессиональным революционером, нужно разбираться в криптографии",stereotype,profession
"чтобы быть певцом, нужно быть сострадательным",stereotype,profession
"чтобы быть музыкантом, нужно иметь слух",stereotype,profession
"чтобы быть музыкантом, надо быть талантливым",stereotype,profession
"чтобы быть доктором, нужно долго учиться",stereotype,profession
"чтобы быть дизайнером, нужно иметь хороший вкус",stereotype,profession
"чтобы быть врачом, нужно обладать определенным складом характера",stereotype,profession
"чтобы быть врачом, необходимо грамотно сочетать эмпатию и отстраненность",stereotype,profession
"что это за трансгендеры такие, люди дурью маются",stereotype,lgbtq
что ты как еврей отвечаешь вопросом на вопрос,stereotype,nationality
что бы стать директором этого отдела необходимо получить дополнительное образование,stereotype,profession
"что бы быть хорошим врачом, нужно любить людей",stereotype,profession
"что бы быть фармацевтом, нужно много знать",stereotype,profession
часто актеры умеют красиво и складно говорить,stereotype,profession
цыгане хотят всех обокрасть,stereotype,nationality
цыгане только попрошайничают,stereotype,nationality
цыгане на рынке вечно продают некачественную одежду,stereotype,nationality
цыгане крадут лошадей,stereotype,nationality
"цыганам нельзя сдавать квартиру, потому что они обманывают на деньги и будут очень шумными",stereotype,nationality
художники это люди с невероятной фантазией,stereotype,profession
художники часто рисуют с натуры,stereotype,profession
художники почему то постоянно несчастливы,stereotype,profession
художники необычные и интересные люди,stereotype,profession
художникам стоит уделять больше внимания ментальному здоровью,stereotype,profession
художник очень тонкая натура,stereotype,profession
художник много пьет,stereotype,profession
"художник должен видеть мир под разными углами, которые не доступны глазам обычного человека",stereotype,profession
украинцы продались западу,stereotype,nationality
украинцы питаются салом,stereotype,nationality
украинцы любят сало,stereotype,nationality
хороший психолог внимательный и принимающий,stereotype,profession
хороший программист много зарабатывает,stereotype,profession
хороший журналист относится к своей профессии ответственно,stereotype,profession
хороший врач учится всю жизнь,stereotype,profession
хорошие реставраторы очень усидчивые люди,stereotype,profession
хитрый как еврей,stereotype,nationality
хирург обладает очень крепкими нервами,stereotype,profession
"хватит одеваться так ярко, ты похожа на транса",stereotype,lgbtq
"хватит геям демонстрировать свои отношения, дети же увидят",stereotype,lgbtq
кавказцы совсем охуели,stereotype,nationality
футболисты топ клубов следят за модой,stereotype,profession
футболистам не нужно думать головой,stereotype,profession
французы снобы,stereotype,nationality
французы очень легкомысленные люди,stereotype,nationality
французы едят одних лягушек,stereotype,nationality
французы едят лягушек,stereotype,nationality
финансист обычно очень занятой человек,stereotype,profession
учителя обыкновенно преданы своей профессии,stereotype,profession
учитель почетное звание,stereotype,profession
учитель ответственно подходит к своей работе,stereotype,profession
учитель математики терпеливый и изобретательный человек,stereotype,profession
учитель должен быть строгим и лояльным,stereotype,profession
учитель всегда прав,stereotype,profession
учитель воспитывает будущее нашей нации,stereotype,profession
"учись хорошо, иначе станешь дворником",stereotype,profession
"ученый должен иметь открытое сознание, свободное от догм",stereotype,profession
украинцы неонацисты,stereotype,nationality
украинцы нацисты,stereotype,nationality
"украинцы нас, россиян, никогда не любили",stereotype,nationality
"украинцы на самом деле русские, просто не хотят признать это",stereotype,nationality
украинцы любят сало,stereotype,nationality
украинцы всегда ненавидели всех русских,stereotype,nationality
украинская нация была придумана лениным,stereotype,nationality
украинки легкодоступные,stereotype,nationality
узбеки продают на рынке очень вкусные фрукты,stereotype,nationality
узбеки никем кроме гастарбайтеров работать и не смогут,stereotype,nationality
"узбеки малограмотные мусульмане и приезжают в россию, чтобы нас вытеснить",stereotype,nationality
"уборщицы сплошные таджички и казашки, совершенно не понимают по русски и плохо работают",stereotype,nationality
брюки только для мужчин,stereotype,gender
у этих узбеков на рынке всегда свежие специи,stereotype,nationality
"у этих трансов не поймешь кто мужчина, а кто женщина",stereotype,lgbtq
у хирурга должна быть твердая рука,stereotype,profession
у трансгендеров проблемы с психикой,stereotype,lgbtq
у трансгендеров не все в порядке с головой,stereotype,lgbtq
"у транс женщины нет менструации, значит, она не настоящая женщина",stereotype,lgbtq
"у тебя, видимо, еврейские корни, раз ты так много экономишь",stereotype,nationality
"у тебя мало денег, потому что ты упускаешь возможности",stereotype,profession
у программистов аналитический склад ума,stereotype,profession
у пилота самолета хорошая физическая форма и отличная профессиональная подготовка,stereotype,profession
"у нее такая короткая стрижка, она точно лесбиянка",stereotype,lgbtq
в куклы могут играть только девочки,stereotype,gender
все актрисы попали в большой бизнес через постель,stereotype,gender
все бабы дуры,stereotype,gender
все блондинки глупые,stereotype,gender
у нее короткая стрижка наверняка она лесбиянка,stereotype,lgbtq
все блондинки тупые,stereotype,gender
все девочки любят кукол,stereotype,gender
у него такая гейская манера поведения,stereotype,lgbtq
все девочки любят розовый цвет,stereotype,gender
все девочки любят цветы,stereotype,gender
все девочки учатся лучше мальчиков,stereotype,gender
все девушки думают только о красоте,stereotype,gender
все девушки жаждут внимания мужчин,stereotype,gender
все девушки красивые,stereotype,gender
"у нас, в молодежном обществе, иметь друга гея классно",stereotype,lgbtq
у нас на стройке работают одни узбеки,stereotype,nationality
"у нас вся попса евреи, они протаскивают туда своих",stereotype,nationality
все девушки любят красивую одежду,stereotype,gender
все девушки мечтают выйти замуж,stereotype,gender
все девушки мечтают завести ребенка,stereotype,gender
у гомосексуальных пар могут быть только гомосексуальные дети,stereotype,lgbtq
"все девушки на самом деле хотят создать семью, а не строить карьеру и саморазвиваться",stereotype,gender
"у всех деятелей науки проблемы либо с головой, либо в личной жизни, либо и то, и другое",stereotype,profession
у бедных в квартире хлам и ковры на стенах,stereotype,profession
у айтишника математический склад ума,stereotype,profession
у автомеханика сильные руки и живой ум,stereotype,profession
"ты экономишь, как еврей",stereotype,nationality
все девушки стервы,stereotype,gender
"ты ненастоящая лесбиянка, у тебя были отношения с мужчиной",stereotype,lgbtq
"ты не можешь быть хирургом, если у тебя трясутся руки",stereotype,lgbtq
"ты не лесбиянка, это просто такой период",stereotype,lgbtq
ты лесбиянка до первого нормального мужика,stereotype,lgbtq
"ты жадный, как еврей",stereotype,nationality
"ты бедный, потому что ленишься",stereotype,profession
трансы это психиатрия,stereotype,lgbtq
трансы хотят захватить себе женский спорт,stereotype,lgbtq
трансы психически больные,stereotype,lgbtq
трансухи опять обманывают мужиков,stereotype,lgbtq
"трансмужчины на самом деле еще большие сексисты чем цисмужчины, потому что выбирают привелегии",stereotype,lgbtq
"трансженщины это мужчины, которые слишком увлеклись в таскание маминой помады и туфель, когда были детьми",stereotype,lgbtq
трансгендеры это распущенность и анархия,stereotype,lgbtq
трансгендеры это переодетые мужчины,stereotype,lgbtq
"трансгендеры это глупо вчера женщина, сегодня мужчина, завтра что то среднее, а послезавтра вообще кухонный комбайн или лошадь",stereotype,lgbtq
трансгендеры это больные люди их надо лечить,stereotype,lgbtq
"трансгендеры это болезнь, которую нужно лечить",stereotype,lgbtq
трансгендеры эти от сатаны,stereotype,lgbtq
трансгендеры стремятся уничтожить традиционные семьи из мужчины и женщины,stereotype,lgbtq
"трансгендеры размывают женскую повестку в вопросах, касающихся феминизма",stereotype,lgbtq
трансгендеры психически больные люди,stereotype,lgbtq
трансгендеры просто хотят привлечь к себе внимание,stereotype,lgbtq
трансгендеры калечат себя и наших детей операциями,stereotype,lgbtq
трансгендеры захватывают женские пространства,stereotype,lgbtq
трансгендеры заставляют нас коверкать язык со своими местоимениями,stereotype,lgbtq
трансгендеров лечить надо,stereotype,lgbtq
трансгендерных женщин по внешнему виду всегда можно отличить от настоящих,stereotype,lgbtq
трансгендерных женщин не бывает это просто мужчины извращенцы,stereotype,lgbtq
трансгендерные люди просто запутавшиеся мальчики и девочки,stereotype,lgbtq
трансгендерные люди поддерживают гендерные стереотипы,stereotype,lgbtq
трансгендерные женщины это угроза женскому спорту,stereotype,lgbtq
трансгендерные женщины нарушают безопасность пространств для настоящих женщин,stereotype,lgbtq
трансгендерность это просто мода,stereotype,lgbtq
трансгендерность это отклонение,stereotype,lgbtq
трансгендерность это новое понятие,stereotype,lgbtq
трансгендерность это заговор фарм корпораций,stereotype,lgbtq
"трансгендерность это болезнь, таких лечить надо",stereotype,lgbtq
транс мужчины геями не бывают,stereotype,lgbtq
транс женщины это переодетые мужчины,stereotype,lgbtq
"транс женщины совершают переход, чтобы домогаться до женщин в туалетах",stereotype,lgbtq
транс женщины переодетые мужики,stereotype,lgbtq
транс женщины не женщины,stereotype,lgbtq
топ менеджеры всегда хорошо одеты,stereotype,profession
топ менеджеры всегда компетентны в своем деле,stereotype,profession
все девушки хотят семью и детей,stereotype,gender
"все девушки, у которых есть водительское удостоверение, все равно хреново водят",stereotype,gender
только ленивые люди мало зарабатывают,stereotype,profession
все женщины глупее мужчин,stereotype,gender
татуировщики сами все в татуировках,stereotype,profession
татарам лишь бы даром,stereotype,nationality
танцорам нужно постоянно поддерживать форму,stereotype,profession
"там, где прошел еврей, русскому делать нечего",stereotype,nationality
таксисты обычно хорошо знают город,stereotype,profession
"таджики, как обычно, плохо убрали двор",stereotype,nationality
таджики только работу у русских отнимают,stereotype,nationality
таджики отнимают наши рабочие места,stereotype,nationality
"таджики наглые, ведут себя в россии, как у себя дома",stereotype,nationality
таджики малограмотны,stereotype,nationality
таджики как обычно плохо покрасили забор моему соседу,stereotype,nationality
таджики занимают рабочие места,stereotype,nationality
таджики забирают наши работы,stereotype,nationality
таджики волосатые,stereotype,nationality
сын попал в слабый класс там одни таджики,stereotype,nationality
считать себя трансгендером это просто фаза и скоро пройдет,stereotype,lgbtq
стыдно ходить в дырявой одежде,stereotype,profession
стыдно жить в такой нищете,stereotype,profession
стыдно быть дворником и быть таким нищим,stereotype,profession
"столько стало трансгендеров, что скоро потребуется защищать права гетеросексуалов",stereotype,lgbtq
среди таксистов сплошные узбеки,stereotype,nationality
сразу видно ремонт таджики делали все криво косо,stereotype,nationality
спид распространяется только из за геев,stereotype,lgbtq
спид распространился из за лгбт,stereotype,lgbtq
специалисты сферы айти очень образованные люди,stereotype,profession
скупой платит дважды,stereotype,profession
скоро все мужчины спортсмены станут трансгендерами и будут отбирать у спортсменок медали на соревнованиях,stereotype,lgbtq
скоро все девушки станут женами горячих кавказцев,stereotype,nationality
сколько бы раз не вызывали такси их нынче водят только таджики,stereotype,nationality
"сидите в такой грязи, как бомжи на свалке",stereotype,profession
все женщины глупые,stereotype,gender
все женщины должны быть женственными,stereotype,gender
сегодня на главной улице таджики выкладывали плитку,stereotype,nationality
все женщины должны готовить,stereotype,gender
самые подлые люди на планете евреи,stereotype,nationality
с разработчиками обычно очень интересно обсуждать новости технологий,stereotype,profession
с программистами всегда интересно общаться,stereotype,profession
все женщины должны уметь готовить,stereotype,gender
"с возрастом лесбийство пройдет, побегает и одумается, замуж выйдет, как все нормальные",stereotype,lgbtq
"с бисексуалкой не бывает серьезных отношений, она все равно уйдет к мужчине",stereotype,lgbtq
русские хамье,stereotype,nationality
русские пьяницы,stereotype,nationality
русские очень много бухают,stereotype,nationality
русские никогда не улыбаются и всегда грубы,stereotype,nationality
русские в большинстве своем грубые,stereotype,nationality
руководитель предприятия придумал новый план развития,stereotype,profession
руководитель отдела высококлассный специалист,stereotype,profession
руководители фирм обычно такие солидные,stereotype,profession
все женщины дуры,stereotype,gender
все женщины заботливые и нежные,stereotype,gender
ремонт в моей квартире делала бригада таджиков,stereotype,nationality
все женщины имеют материнский инстинкт,stereotype,gender
"разленились и ждете помощи,а сами не можете выбраться из нищеты",stereotype,profession
все женщины истерички,stereotype,gender
все женщины легкодоступны,stereotype,gender
все женщины лживые и меркантильные,stereotype,gender
"пусть гомосексуалы ко мне не подходят, к ним же спиной повернуться страшно",stereotype,lgbtq
психологи работают с психами,stereotype,profession
профессора пользуются общественным уважением,stereotype,profession
профессор очень умный,stereotype,profession
профессор очень начитан,stereotype,profession
программисты обычно очень разносторонне образованы,stereotype,profession
программисты много зарабатывают и могут позволить себе работать из любой точки мира,stereotype,profession
программисты любят изучать что то новое,stereotype,profession
программисты имеют хорошо развитый логический ум,stereotype,profession
программисты захватят мир,stereotype,profession
программистом стать легко,stereotype,profession
программист очень востребованная профессия,stereotype,profession
все женщины любят детей,stereotype,gender
президент компании очень умный и образованный человек,stereotype,profession
президент должен облегчать жизнь населению,stereotype,profession
предприниматели успешные люди,stereotype,profession
"предприниматели обычно ответственные люди, кроме того, они готовы браться за самые сложные задачи",stereotype,profession
предприниматели находчивые люди,stereotype,profession
практически все без исключения стюарды подвержены смене часового пояса,stereotype,profession
все женщины любят и умеют готовить,stereotype,gender
все женщины любят носить платья,stereotype,gender
"понятно, почему новые дома в москве такие плохие их строят узбеки, которые не понимают, что им говорит русский прораб",stereotype,nationality
"понаехали эти таджики, скоро наших уже совсем не останется",stereotype,nationality
понаехали кавказцы в наш город,stereotype,nationality
понаехали опять азербайджанцы,stereotype,nationality
"поехали покупаться в речке а тут целый табор цыган, лучше спрятать вещи а то украдут",stereotype,nationality
все женщины любят поболтать,stereotype,gender
повар должен много учиться,stereotype,profession
все женщины любят розовый цвет,stereotype,gender
плохо быть бедным,stereotype,profession
"плитка кривая, потому что узбеки ее клали",stereotype,nationality
все женщины любят своих детей,stereotype,gender
геи все такие жеманные,stereotype,lgbtq
педагоги учат детей,stereotype,profession
педагог должен любить детей,stereotype,profession
педагог в провинции получает немного,stereotype,profession
пансексуалы просто до конца не определились,stereotype,lgbtq
очередная русская нашла своего кавказца,stereotype,nationality
очень грамотный программист,stereotype,profession
от всех бедных людей плохо пахнет,stereotype,profession
"опять эти геи целуются на людях, фу",stereotype,lgbtq
"все женщины любят шоппинг, домашние дела и детей",stereotype,gender
опять таджики понаехали в россию,stereotype,nationality
все женщины меркантильные,stereotype,gender
все женщины мечтают выйти замуж,stereotype,gender
все женщины много сплетничают,stereotype,gender
все женщины не могу контролировать свои эмоции,stereotype,gender
все женщины не умеют водить,stereotype,gender
все женщины очень любят детей и хотят побыстрее замуж,stereotype,gender
все женщины очень эмоциональны,stereotype,gender
все женщины плохие водители,stereotype,gender
все женщины плохо водят,stereotype,gender
все женщины плохо водят авто,stereotype,gender
она ходит в каких то обносках,stereotype,profession
все женщины плохо водят машину,stereotype,gender
все женщины по своему прекрасны,stereotype,gender
все женщины постоянно плачут по любому поводу,stereotype,gender
все женщины прежде всего хотят иметь семью и детей,stereotype,gender
"все женщины с раннего детства должны учиться готовить, чтобы в будущем ублажить мужа",stereotype,gender
все женщины сильно подвержены переменам в настроении,stereotype,gender
все женщины слишком эмоциональны,stereotype,gender
все женщины слишком эмоциональные,stereotype,gender
все женщины стервы,stereotype,gender
все женщины умеют заплетать прически,stereotype,gender
все женщины хитрые,stereotype,gender
все женщины хотят быть красивыми,stereotype,gender
все женщины хотят детей и семью,stereotype,gender
"все женщины хотят иметь детей, это их инстинкт",stereotype,gender
все женщины эмоциональные,stereotype,gender
все мальчишки любят драться,stereotype,gender
все мальчишки хулиганы,stereotype,gender
все мамы носятся со своими чадами как курица с яйцом,stereotype,gender
все мамы помешаны на детях,stereotype,gender
все молодые мамы требуют для себя привелегий,stereotype,gender
все мужчины агрессивные,stereotype,gender
все мужчины козлы,stereotype,gender
все мужчины любят мясо,stereotype,gender
все мужчины любят рыбалку,stereotype,gender
все мужчины любят футбол,stereotype,gender
все мужчины любят хоккей,stereotype,gender
все мужчины разбираются в математике ,stereotype,gender
все студентки поступают в вуз чтобы найти себе мужа,stereotype,gender
все студентки пришли в технический вуз чтоб выйти замуж,stereotype,gender
всем женщинам говорят что они должны рожать,stereotype,gender
всем мужчинам нравятся машины,stereotype,gender
главная задача мужчины приносить доход в семью,stereotype,gender
главные цели в жизни каждой женщины выйти замуж и родить ребенка,stereotype,gender
готовить в семье должна она,stereotype,gender
девочки любят вязать,stereotype,gender
девушка не справится с технической специальностью,stereotype,gender
девушка пошла гулять во двор с сыном,stereotype,gender
девушка склонна к проявлению сентиментальности и мягкости,stereotype,gender
девушки любят краситься и модно одеваться,stereotype,gender
она слишком женственная для лесбиянки,stereotype,lgbtq
девушки меркантильные,stereotype,gender
девушки хотят чувствовать себя беспомощными в руках мужчины,stereotype,gender
для мужчины работа очень важная часть жизни,stereotype,gender
домашние дела всегда были на женщине,stereotype,gender
домашние дела это женская обязанность,stereotype,gender
дочь всегда помогала маме с младшеньким,stereotype,gender
дочь вытирает тарелки маме,stereotype,gender
"если у студентки хорошие оценки, значит, она дала преподу",stereotype,gender
женская дружба змеиный гадюшник,stereotype,gender
женской дружбы не бывает,stereotype,gender
женской дружбы не существует,stereotype,gender
женщина варит вкусный борщ,stereotype,gender
женщина во всем должна слушаться своего мужчину,stereotype,gender
женщина всë делает для своих детей,stereotype,gender
"женщина всегда должна быть слабой и подчиняться, а мужчина быть сильным и подчинять",stereotype,gender
женщина всегда должна быть ухоженной и красивой,stereotype,gender
"женщина вынуждена объяснять детям, как себя вести, чтобы не злить папу",stereotype,gender
женщина должна брить ноги и другие части тела,stereotype,gender
женщина должна быть за мужем,stereotype,gender
женщина должна быть изящной и женственной,stereotype,gender
женщина должна быть милой и нежной ко всем,stereotype,gender
женщина должна быть скромной и поддатливой,stereotype,gender
женщина должна вести все дела по дому,stereotype,gender
женщина должна всегда терпеть и прощать,stereotype,gender
женщина должна заботиться о доме и не возражать,stereotype,gender
"женщина должна прибирать за мужчиной отцом, братом или мужем",stereotype,gender
женщина должна родить,stereotype,gender
женщина должна следить за своей внешностью,stereotype,gender
женщина должна создавать уют в доме,stereotype,gender
"женщина должна хранить домашний очаг, а он должен содержать семью",stereotype,gender
женщина за рулем как обезьяна с гранатой,stereotype,gender
женщина за рулем обезьяна с гранатой,stereotype,gender
женщина заплакала,stereotype,gender
женщина не должна выходить из дома ненакрашенной,stereotype,gender
женщина не должна зарабатывать больше чем мужчина,stereotype,gender
женщина не должна материться,stereotype,gender
женщина не имеет права носить юбку короче колен,stereotype,gender
женщина не может быть хорошим хирургом,stereotype,gender
женщина не может заниматься точными науками,stereotype,gender
женщина не может заниматься хирургией,stereotype,gender
женщина не может руководить компанией,stereotype,gender
женщина не сможет построить карьеру в программировании,stereotype,gender
женщина не сможет починить кран,stereotype,gender
женщина не способна быть машинисткой поезда,stereotype,gender
женщина не способна мыслить логически,stereotype,gender
женщина несет с работы набитые сумки домой безработному мужу и детям,stereotype,gender
женщина постоянно готовит и убирает дом,stereotype,gender
женщина украшение рабочего коллектива,stereotype,gender
женщинам тяжело хорошо играть в компьютерные игры,stereotype,gender
женщине нельзя за руль,stereotype,gender
"женщину невыгодно нанимать на работу, потому что она уйдет в декрет",stereotype,gender
женщину нужно хотеть защищать,stereotype,gender
"она обязательно уйдет от меня к парню, она ведь бисексуалка",stereotype,lgbtq
женщины более эмоциональные чем мужчины,stereotype,gender
"женщины вечно сидят в декретах и больничных, нет смысла их вообще нанимать",stereotype,gender
женщины должны быть хрупкими и нежными,stereotype,gender
женщины должны краситься,stereotype,gender
женщины должны сидеть дома и заниматься воспитанием детей,stereotype,gender
женщины должны следить за домашним хозяйством,stereotype,gender
женщины домохозяйки,stereotype,gender
женщины лучше справляются с уходом за детьми,stereotype,gender
женщины любят проводить время на кухне,stereotype,gender
"женщины любят, когда за них принимают важные решения",stereotype,gender
женщины не могут водить машину,stereotype,gender
женщины не могут руководить бизнесом,stereotype,gender
женщины не разбираются в машинах и механизмах,stereotype,gender
женщины не умеют водить,stereotype,gender
женщины не умеют водить машину,stereotype,gender
"она не лесбиянка, это все возраст такой, вырастет поймет",stereotype,lgbtq
"она не лесбиянка, просто не встретила того самого правильного мужчину",stereotype,lgbtq
"она не лесбиянка, она просто хочет внимания",stereotype,lgbtq
"она не бисексуалка, она просто экспериментирует с девочками",stereotype,lgbtq
"она не бисексуалка, она же в отношениях с парнем",stereotype,lgbtq
женщины плохо вводят машину,stereotype,gender
женщины плохо водят,stereotype,gender
женщины плохо водят автомобиль,stereotype,gender
женщины плохо водят машины,stereotype,gender
женщины плохо разбираются в точных науках,stereotype,gender
женщины слабый пол,stereotype,gender
женщины слишком эмоциональны,stereotype,gender
женщины слишком эмоциональны для такой работы,stereotype,gender
"женщины хотят, чтобы их добивались",stereotype,gender
женщины хранительницы очага,stereotype,gender
женщины хуже водят машину,stereotype,gender
женщины эмоционально реагируют на поведение детей,stereotype,gender
"она лесбиянка, потому что является западным агентом и хочет уничтожить нашу культуру",stereotype,lgbtq
"она лесбиянка, значит у нее не может быть детей",stereotype,lgbtq
"за ним последнее слово, он же добытчик",stereotype,gender
каждая женщина должна уметь готовить,stereotype,gender
"как и любой мужчина, он мечтал о влиянии и поскорей стремился сесть в кресло начальника",stereotype,gender
лучшие повара мужчины,stereotype,gender
мальчики будущие защитники родины,stereotype,gender
мальчики не должны плакать,stereotype,gender
мальчики не должны плакать по пустякам,stereotype,gender
мама вкладывает много сил в заботу о детях,stereotype,gender
мама все время заботится о детях,stereotype,gender
мама всегда приходила домой уставшей,stereotype,gender
мама любит своих дочерей,stereotype,gender
мама новорожденного часто не высыпается,stereotype,gender
мама постоянно уходит на больничный с сыном,stereotype,gender
"она жадная, значит еврейка",stereotype,nationality
мама приготовила ужин,stereotype,gender
мама приготовила ужин для своих детей,stereotype,gender
мама с утра встала и приготовила детям завтрак,stereotype,gender
мама сварила суп,stereotype,gender
мама страдала от послеродовой депрессии после рождения ее дочери,stereotype,gender
материнство доставляет ей много хлопот,stereotype,gender
мать любит только сына,stereotype,gender
место женщины на кухне,stereotype,gender
место женщины на кухне у плиты,stereotype,gender
мужики не плачут,stereotype,gender
"мужчина глава семейства, а женщина прислуга",stereotype,gender
"мужчина голова, женщина шея ты должны быть хитрее, мужчины они тугодумы",stereotype,gender
мужчина делает первый шаг,stereotype,gender
мужчина добытчик,stereotype,gender
мужчина добытчик и должен быть сильным,stereotype,gender
мужчина должен быть добытчиком,stereotype,gender
мужчина должен быть чуть красивее обезьяны,stereotype,gender
мужчина должен зарабатывать деньги и содержать семью,stereotype,gender
мужчина должен идти воевать,stereotype,gender
"мужчина должен работать, а она сидеть с детьми",stereotype,gender
мужчина должен содержать семью,stereotype,gender
мужчина должен содержать семью,stereotype,gender
"мужчина защитник семьи, а она хранительница очага",stereotype,gender
"мужчина значит, сильный",stereotype,gender
мужчина классный специалист,stereotype,gender
мужчина начальник крупной компании,stereotype,gender
мужчина не должен мыть посуду,stereotype,gender
мужчина не должен плакать,stereotype,gender
мужчина никогда не плачет,stereotype,gender
мужчина обязан знать кормить семью,stereotype,gender
мужчина обязан прятать эмоции,stereotype,gender
мужчина обязан служить в армии,stereotype,gender
мужчина отличный профессионал в своем деле,stereotype,gender
мужчина платит за свидание,stereotype,gender
"мужчина представитель сильного пола, главная опора семьи и коллектива",stereotype,gender
мужчина прекрасный политик,stereotype,gender
мужчина прирожденный хирург,stereotype,gender
"мужчина работает, а она красивая",stereotype,gender
мужчина сдержанно проявляет эмоции,stereotype,gender
мужчина содержит семью,stereotype,gender
"мужчина такой сильный, не то что женщина",stereotype,gender
мужчина трудоголик,stereotype,gender
мужчина ходит на работу каждый день,stereotype,gender
мужчина хозяин в доме,stereotype,gender
мужчина целыми днями трудится в офисе,stereotype,gender
мужчина это добытчик,stereotype,gender
мужчина является опытным сотрудником,stereotype,gender
мужчинам нужен только секс,stereotype,gender
"мужчины всего добиваются сами, женщины приспособленки",stereotype,gender
"мужчины менее эмоциональны, чем женщины",stereotype,gender
мужчины не делают макияж,stereotype,gender
мужчины никогда не должны плакать,stereotype,gender
мужчины редко бреют все тело,stereotype,gender
мужчины редко ходят к врачам,stereotype,gender
начальника лучше мужчины не может быть,stereotype,gender
не женское это дело руководить,stereotype,gender
неплохо разбираешься в технике для девчонки,stereotype,gender
никто не может управлять поездом в метро лучше мужчины,stereotype,gender
он айтишник и зарабатывает кучу денег,stereotype,gender
"мужчина бросил ее, потому что она плохо готовила",stereotype,gender
"она бисексуалка значит уйдет от меня к мужчине, не буду с ней встречаться",stereotype,lgbtq
мужчина в детстве дрался с каждым мальчишкой во дворе,stereotype,gender
мужчина в любимчиках у начальства,stereotype,gender
мужчина в любом случае лучше разбирается в технике,stereotype,gender
мужчина владеет гаечным ключом как бог,stereotype,gender
мужчина всегда будет лучше разбираться в машинах,stereotype,gender
"он умный и хитрый, потому что еврей",stereotype,nationality
"он умеет договориться с другими и разруливать ситуации, он же директор",stereotype,profession
"он ужасно хитрый, потому что еврей",stereotype,nationality
мужчина всегда укладывается в дедлайн,stereotype,gender
"мужчина всегда ходит на работу, но запрещает делать то же самое ей",stereotype,gender
мужчина генеральный директор компании,stereotype,gender
он типичный гей у него очень манерная речь,stereotype,lgbtq
"он такой жадный, наверное, у него в роду были евреи",stereotype,nationality
"он такой жадный, наверное, еврей",stereotype,nationality
