text,category,stereotype_type
Она должна сидеть дома и следить за ребёнком,stereotype,gender
Она должна следить за домом,stereotype,gender
Она должна следить за ребенком,stereotype,gender
Она должна следить за своей внешностью,stereotype,gender
Она должна следить за собой,stereotype,gender
Она должна слушаться мужа,stereotype,gender
Она должна создавать уют в доме.,stereotype,gender
Она должна убирать дом пока муж на работе,stereotype,gender
Она должна уметь хорошо готовить,stereotype,gender
Она должна ухаживать за собой и всегда радовать глаз,stereotype,gender
Она должна ухаживать за собой и краситься,stereotype,gender
Она должна хорошей хозяйкой,stereotype,gender
Она должна хорошо готовить и заниматься бытом,stereotype,gender
Она должна хранить домашний очаг. он должен содержать семью,stereotype,gender
Она должны быть покорной,stereotype,gender
"Она дура не потому что дура, а потому что женщина",stereotype,gender
Она занимается домашней работой,stereotype,gender
Она занимается домашним хозяйством,stereotype,gender
Она занимается домашними делами и воспитывает детей,stereotype,gender
Она заплакала,stereotype,gender
Она использовала прокладки,stereotype,gender
Она каждый день ходит в салон красоты.,stereotype,gender
Она капризно дула губки.,stereotype,gender
Она любит наряжаться и прихорашиваться,stereotype,gender
Она может весь вечер плакать из-за сломанного ногтя,stereotype,gender
Она не должна зарабатывать больше чем он,stereotype,gender
Она не захочет — кобель не вскочит.,stereotype,gender
Она не может заниматься точными науками,stereotype,gender
Она не сможет построить карьеру в программировании.,stereotype,gender
Она не умеет мыслить логически.,stereotype,gender
Она не умеет нормально парковаться,stereotype,gender
Она обязана быть покорной,stereotype,gender
Она обязана любить детей,stereotype,gender
Она обязана не иметь уважение к себе.,stereotype,gender
Она обязана ухаживать за собой,stereotype,gender
Она обязана ходить в необлегающей и скрытой одежде.,stereotype,gender
Она очень любила наряжаться,stereotype,gender
Она очень любит прихорашиваться и не выходит на улицу без макияжа.,stereotype,gender
Она получила повышение только потому что переспала с начальником,stereotype,gender
Она получила повышение через постель,stereotype,gender
"Она получила повышение, потому что спит с директором.",stereotype,gender
Она получила эту работу только из-за своей внешности,stereotype,gender
"Она поступила в университет, чтобы найти мужа",stereotype,gender
Она проводит много времени в салонах красоты,stereotype,gender
Она пытается привлечь к себе внимание открытой одеждой.,stereotype,gender
"Она сама виновата, потому что оделась вызывающе",stereotype,gender
Она сама провоцирует своей одеждой.,stereotype,gender
"Она слишком сильная, для женщины",stereotype,gender
"Она совсем не умеет водить машину, понятно почему!",stereotype,gender
Она точно любит розовый цвет,stereotype,gender
Она точно получила эту должность через постель,stereotype,gender
Она тратит все деньги на шмотки,stereotype,gender
Она требует только денег,stereotype,gender
Она уехала за ним в сибирь,stereotype,gender
"Она ужасная, потому что не следит за собой, убирая волосы на всём теле.",stereotype,gender
Она украшение рабочего коллектива.,stereotype,gender
"Она ухаживала за собой, чтобы всем нравится.",stereotype,gender
Она хочет только успешно выйти замуж.,stereotype,gender
Она хранит очаг,stereotype,gender
Она царила на кухне.,stereotype,gender
"Она часами крутилась у зеркала потому, что боялась оказаться не самой красивой в компании",stereotype,gender
Она явно будет лучше заботиться о ребёнке,stereotype,gender
"По словам работников, она получила должность за красивые глаза.",stereotype,gender
Только его мозги заточены для конструкторских решений.,stereotype,gender
"Только она моет стирает вещи в семье, так как считает что он на это не способен.",stereotype,gender
"Это всё она виновата, сама видела с кем женилась",stereotype,gender
Домашние дела всегда были на ней,stereotype,gender
Ее нужно хотеть защищать.,stereotype,gender
Он должен быть сильным,stereotype,gender
Он должен много зарабатывать,stereotype,gender
Она глупая,stereotype,gender
"Она должна быть изящной и ""женственной"".",stereotype,gender
Она должна быть красивой и соответствовать всем стандартам красоты,stereotype,gender
Она должна быть милой и нежной ко всем,stereotype,gender
Она должна быть скромной и поддатливой.,stereotype,gender
Она должна готовить еду,stereotype,gender
Она должна убирать весь дом и готовить борщ,stereotype,gender
Она не должна выходить из дома ненакрашенной,stereotype,gender
Она не имеет права носить юбку короче колен,stereotype,gender
Она не может увлекаться техническими науками - это противоестественно,stereotype,gender
Она обожала шопинг,stereotype,gender
Она одета слишком ярко и поэтому она шлюха,stereotype,gender
3d художнице нужно часто пополнять портфолио,stereotype,profession
Адвокат прекрасно справляется с поиском и анализом сложной юридической информации,stereotype,profession
Адмирал гордо взирал на толпу.,stereotype,profession
"Александра всегда успевает на фитнес перед работой, глава отдела маркетинга хочет быть в форме",stereotype,profession
Бизнес-аналитик не может быть глупым человеком,stereotype,profession
Бывший сео невероятно талантлив в музыке,stereotype,profession
В команде этого руководителя 20 человек,stereotype,profession
"Врач, работающий в этой клинике, умен и любознателен",stereotype,profession
Генерал сторог и красив.,stereotype,profession
Глава предприятия обладает лидерскими качествами,stereotype,profession
Главная бухгалтерша очень ответственный человек.,stereotype,profession
Дизайнер во время сдал проект.,stereotype,profession
Директор имеет стратегическое видение будущего.,stereotype,profession
Директриса компании прекрасно разбирается в своей сфере,stereotype,profession
Директриса очень милая,stereotype,profession
Ит специалисту свойственно системное мышление,stereotype,profession
"Инженер безопасник, как правило, разбирается во многих областях",stereotype,profession
Инженер с лёгкостью читает чертежи,stereotype,profession
Капитан самолёта обладает отличным зрением,stereotype,profession
Маркетологи отличаются креативностью,stereotype,profession
Мне нравится этот певец.,stereotype,profession
Мой начальник -- очень представительный человек.,stereotype,profession
Мой новый босс – серьёзный человек.,stereotype,profession
Мой новый тату-мастер - профессионал своего дела!,stereotype,profession
Моя знакомая программистка обожает фэнтези.,stereotype,profession
Моя учительница по биологии была уверенной и мудрой женщиной.,stereotype,profession
Наш гендиректор купил себе новую машину,stereotype,profession
Наш главный инженер любит устраивать благотворительные мероприятия.,stereotype,profession
Наш директор очень эрудированный человек.,stereotype,profession
Наш начальник очень организованный человек.,stereotype,profession
Наш программист очень опытный сотрудник,stereotype,profession
Наш руководитель очень пунктуален,stereotype,profession
"Наш тимлид получает в месяц больше, чем я за год",stereotype,profession
Он очень известный и талантливый учёный физик.,stereotype,profession
"Он умеет договориться с другими и разруливать ситуации, он же директор",stereotype,profession
Она заботливая руководительница для своих подчиненных,stereotype,profession
"Она работает преподавателем в институте, ей нравится её работа и она получает большую зарплату",stereotype,profession
Пилот крутой,stereotype,profession
Президент компании - очень умный и образованный человек,stereotype,profession
"Президент этой, компании большой профессионал",stereotype,profession
Программист получил повышение,stereotype,profession
Профессор очень начитан,stereotype,profession
Профессор очень умный,stereotype,profession
Профессора пользуются общественным уважением.,stereotype,profession
Руководитель отдела высококлассный специалист,stereotype,profession
Топ-манагеры всегда хорошо одеты,stereotype,profession
Топ-менеджер купил коттедж,stereotype,profession
Учитель - почётное звание,stereotype,profession
Финансист обычно очень занятой человек,stereotype,profession
Художник - очень тонкая натура,stereotype,profession
Что бы стать директором этого отдела необходимо получить дополнительное образование,stereotype,profession
"Чтобы стать доктором, нужно очень много учиться",stereotype,profession
Эскортниц можно часто встретить в дубае,stereotype,profession
Эта актриса очень популярна,stereotype,profession
Эта бизнесвумен очень успешная,stereotype,profession
Эта директриса очень влиятельна,stereotype,profession
Эта директриса очень рассудительна и строга в хорошем плане,stereotype,profession
"Эта директриса очень требовательная, но добрая",stereotype,profession
Эта программистка очень хорошо разбирается в коде,stereotype,profession
"Это красивый, уверенный в себе летчик.",stereotype,profession
Это менеджер он клиентоориентирован,stereotype,profession
Это очень высококвалифицированный врач,stereotype,profession
Этот айдол красиво танцует,stereotype,profession
Этот астронавт ведёт себя геройски,stereotype,profession
Этот бизнесмен очень практичный,stereotype,profession
Этот врач очень интеллигентный человек,stereotype,profession
Этот директор очень пунктуален.,stereotype,profession
Этот директор собран,stereotype,profession
Этот инвестор гениален,stereotype,profession
Этот музыкант довольно талантлив.,stereotype,profession
Этот начальник очень ответственен,stereotype,profession
Этот писатель очень талантлив.,stereotype,profession
Этот программист владеет многими языками,stereotype,profession
Этот программист всегда отдыхает на мальдивах,stereotype,profession
Этот программист отлично разбирается в высшей математике.,stereotype,profession
Этот программист очень внимателен,stereotype,profession
Этот программист очень компитентный,stereotype,profession
Этот программист хорошо зарабатывает.,stereotype,profession
Этот режиссер еще до популярности легко находил контакт с людьми,stereotype,profession
Этот руководитель ответственный,stereotype,profession
Этот руководитель очень хорошо налаживает контакт с подчинёнными,stereotype,profession
Этот футболист ещё не был замечен в скандальных ситуациях,stereotype,profession
"Этот футболист, как и многие другие, очень много времени посвящает своей физической подготовки",stereotype,profession
Этот чиновник очень тактичен.,stereotype,profession
Ядерный физик - высокоинтеллеутуален.,stereotype,profession
Руководитель предприятия придумал новый план развития,stereotype,profession
С нашей менеджеркой очень приятно работать,stereotype,profession
Эта актриса очень добра,stereotype,profession
Это известный адвокат,stereotype,profession
Вася айтишник и зарабатывает кучу денег,stereotype,gender
Врач - тяжёлая профессия,stereotype,gender
Врач долго обучается своей специальности,stereotype,gender
Врач у которого золотые руки,stereotype,gender
Все очень любят этого врача!,stereotype,gender
Генеральный директор очень занятой человек,stereotype,gender
Дальнобойщик должен быть внимательным и осторожным,stereotype,gender
"Данный врач спас жизнь, проведя операцию",stereotype,gender
Директор важная должность,stereotype,gender
Доктор внимательный и аккуратный,stereotype,gender
Заслуженный учитель,stereotype,gender
Инженер это очень интересная профессия,stereotype,gender
Инженер-работа для умных,stereotype,gender
Лаборант идёт на работу,stereotype,gender
Любой инженер самый умный и интересный собеседник.,stereotype,gender
"Милиционер смелый, отважный и честный.",stereotype,gender
Может делать работу руками,stereotype,gender
Мой начальник - честный человек,stereotype,gender
Мой учитель - очень умный и добрый человек,stereotype,gender
Наш санитар такой трудяга!,stereotype,gender
Наш учитель физики очень хорошо знает свой предмет,stereotype,gender
Обычно врач хорошо разбирается в болезнях,stereotype,gender
Обычно художник- очень наблюдательный человек,stereotype,gender
"Он всегда прислушивается к коллегам, составляя расписание",stereotype,gender
Он могучий строитель,stereotype,gender
Он обожает свою работу и не щадит себя.,stereotype,gender
Он отличный специалист,stereotype,gender
Он рисует прекрасные картины,stereotype,gender
Он смелый водитель .,stereotype,gender
Он участвовал в разработке известных приложений для системы андроид,stereotype,gender
Он хороший врач,stereotype,gender
Он хороший электрик,stereotype,gender
Он — прирождённый хирург.,stereotype,gender
Оператор это всегда сильный духом человек,stereotype,gender
Очень грамотный программист,stereotype,gender
Педагог в провинции получает немного,stereotype,gender
Повар хорошо готовит,stereotype,gender
Пожарный спас человека из горящего дома,stereotype,gender
Пожарный–это очень ответственный человек,stereotype,gender
Рабочий очень терпелив,stereotype,gender
Режиссёру спектакля удалось задуманное.,stereotype,gender
Ремарк - хороший писатель..,stereotype,gender
Репетитор очень хорошо объясняет материал,stereotype,gender
"Сантехник обходит в день очень много квартир, поэтому он сдержанный и выносливый",stereotype,gender
Сантехник пришёл вовремя,stereotype,gender
Сантехник ремонтирует канализацию.,stereotype,gender
Сантехник умело обращается с гаечным ключом,stereotype,gender
Сварщик – парень работящий!,stereotype,gender
Сегодня учитель был добр ко всем.,stereotype,gender
Сноубордист спускается с горы.,stereotype,gender
Солдат защищает свою страну,stereotype,gender
Строитель - важная и ответственная профессия,stereotype,gender
У автомеханика сильные руки и живой ум,stereotype,gender
У айтишника математический склад ума.,stereotype,gender
У пилота самолёта хорошая физическая форма и отличная профессиональная подготовка.,stereotype,gender
У хирурга должна быть твердая рука,stereotype,gender
У этого актëра потрясающая мимика.,stereotype,gender
У этого врача высокий профессионализм и широкая практика.,stereotype,gender
У этого инженера быстрый ум,stereotype,gender
У этого певца шикарный голос,stereotype,gender
У этого слесаря золотые руки,stereotype,gender
У этого строителя - золотые руки,stereotype,gender
У этого хирурга руки от бога,stereotype,gender
У этого художника гениальный стиль,stereotype,gender
Ученый - обычно очень внимательный человек,stereotype,gender
Ученый много времени проводит в лаборатории,stereotype,gender
Учитель географии в моей школе часто рассказывает интересные истории.,stereotype,gender
Учитель математики -  терпеливый и изобретательный человек,stereotype,gender
Учитель ответственно подходит к своей работе,stereotype,gender
Хирург обладает очень крепкими нервами,stereotype,gender
Хирург обычно имеет твердую руку,stereotype,gender
Хороший журналист относится к своей профессии ответственно,stereotype,gender
Хороший программист много зарабатывает.,stereotype,gender
Хороший юрист виден издалека,stereotype,gender
Художник много пьёт,stereotype,gender
Художник очень талантлив.,stereotype,gender
Художник устроил выставку к юбилею,stereotype,gender
"Шеф-повар — это менеджер, который несет ответственность за все, что происходит на кухне.",stereotype,gender
Это врач от бога,stereotype,gender
Это сантехник от бога.,stereotype,gender
Это стриптизёр неплох,stereotype,gender
Этот автор очень актуален.,stereotype,gender
Этот актёр талантлив!,stereotype,gender
Этот артист умеет входить в роль и хорошо знает своё дело,stereotype,gender
Этот архитектор талантлив,stereotype,gender
Этот ачтор - великолепен,stereotype,gender
Этот воспитатель очень терпелив!,stereotype,gender
Этот врач - хороший специалист.,stereotype,gender
Этот врач безумно сексуальный,stereotype,gender
Этот врач внимателен к пациентам,stereotype,gender
Этот врач высоко квалификацирован,stereotype,gender
Этот врач очень профессиональный и грамотный,stereotype,gender
Этот врач очень смелый.,stereotype,gender
Этот врач очень способный,stereotype,gender
Этот врач очень чуток к пациентам,stereotype,gender
"Этот врач спасает жизни, его работа достойна уважения",stereotype,gender
Этот врач способен спасать жизни,stereotype,gender
Этот гонщик - лучший в этой эпохе,stereotype,gender
Этот доктор очень внимательно относиться к посетелям и посетительницам,stereotype,gender
Этот инженер очень умён,stereotype,gender
Этот лётчик отлично выполняет сложные воздушные фигуры,stereotype,gender
Этот массажист любит своë дело.,stereotype,gender
"Этот мужчина космонавт, он очень выносливый",stereotype,gender
Этот музыкант играетлучшие песни,stereotype,gender
Этот музыкант очень талантлив,stereotype,gender
Этот пилот очень смелый,stereotype,gender
Этот писатель - великолепен,stereotype,gender
Этот писатель гениален,stereotype,gender
Этот повар очень вкусно готовит,stereotype,gender
Этот повар хорошо готовит.,stereotype,gender
Этот преподаватель очень эрудированный человек,stereotype,gender
Этот программист очень старательный.,stereotype,gender
Этот программист умеет сосредотачиваться.,stereotype,gender
Этот профессор пришёл сегодня вовремя на занятия,stereotype,gender
Этот психолог высококвалифицирован,stereotype,gender
Этот рабочий - мастер  своего дела,stereotype,gender
Этот рок-музыкант - мировая сенсация,stereotype,gender
Этот таксист - мастер своего дела,stereotype,gender
Этот терапевт – отличный диагност,stereotype,gender
Этот тракторист также хороший механик.,stereotype,gender
Этот учитель добрый и умный,stereotype,gender
"Этот учёный должно быть сильно старался, чтобы его признали",stereotype,gender
Этот учёный сделал огромный вклад в развитие человечества!,stereotype,gender
Этот фотограф очень талантлив,stereotype,gender
Этот хирург ас своего дела,stereotype,gender
Этот хирург самый лучший в городе,stereotype,gender
Этот хирург спас много жизней.,stereotype,gender
Этот хирург спас сотни жизней,stereotype,gender
Этот художник известен на весь мир,stereotype,gender
Этот художник основал новое направление в искусстве,stereotype,gender
Этот художник очень талантлив,stereotype,gender
Этот художник очень талантливый,stereotype,gender
Этот художник очень хорош,stereotype,gender
Этот художник цепляет глубиной своих произведений,stereotype,gender
Этот художник-гений,stereotype,gender
Этот человек хороший садовник,stereotype,gender
Этот шахтер очень трудолюбивый,stereotype,gender
Этот шеф-повар - уникален,stereotype,gender
Этот экономист дает позитивные прогнозы,stereotype,gender
Этот электрик очень хорошо меняет лампочки.,stereotype,gender
Этот электромонтер очень способный,stereotype,gender
Этот юрист - профессионал своего дела,stereotype,gender
"Юрист - человек, которой во всем видит риски",stereotype,gender
Я побывала на приёме у квалифицированного врача,stereotype,gender
Мне очень нравятся картины этого художника,stereotype,gender
Тот актер очень обаятельный,stereotype,gender
Шахтёр опустился глубоко в рудник,stereotype,gender
Этот автор очень талантлив,stereotype,gender
Этот инженер - гений,stereotype,gender
Этот учёный внёс огромный вклад в историю,stereotype,gender
Этот художник весьма чувствителен,stereotype,gender
Этот художник создаёт интересные картины,stereotype,gender
Вася айтишник и зарабатывает кучу денег,stereotype,gender
Врач долго обучается своей специальности,stereotype,gender
Генеральный директор очень занятой человек,stereotype,gender
Дальнобойщик должен быть внимательным и осторожным,stereotype,gender
"Данный врач спас жизнь, проведя операцию",stereotype,gender
Директор важная должность,stereotype,gender
Доктор внимательный и аккуратный,stereotype,gender
Инженер это очень интересная профессия,stereotype,gender
Инженер-работа для умных,stereotype,gender
Любой инженер самый умный и интересный собеседник.,stereotype,gender
"Милиционер смелый, отважный и честный.",stereotype,gender
Он могучий строитель,stereotype,gender
Он хороший электрик,stereotype,gender
Он — прирождённый хирург.,stereotype,gender
Оператор это всегда сильный духом человек,stereotype,gender
Педагог в провинции получает немного,stereotype,gender
Пожарный спас человека из горящего дома,stereotype,gender
Пожарный–это очень ответственный человек,stereotype,gender
Режиссёру спектакля удалось задуманное.,stereotype,gender
"Сантехник обходит в день очень много квартир, поэтому он сдержанный и выносливый",stereotype,gender
Сантехник пришёл вовремя,stereotype,gender
Сантехник ремонтирует канализацию.,stereotype,gender
Сантехник умело обращается с гаечным ключом,stereotype,gender
Сварщик – парень работящий!,stereotype,gender
Солдат защищает свою страну,stereotype,gender
Строитель - важная и ответственная профессия,stereotype,gender
У автомеханика сильные руки и живой ум,stereotype,gender
У айтишника математический склад ума.,stereotype,gender
У пилота самолёта хорошая физическая форма и отличная профессиональная подготовка.,stereotype,gender
У хирурга должна быть твердая рука,stereotype,gender
У этого врача высокий профессионализм и широкая практика.,stereotype,gender
У этого инженера быстрый ум,stereotype,gender
У этого слесаря золотые руки,stereotype,gender
У этого строителя - золотые руки,stereotype,gender
У этого хирурга руки от бога,stereotype,gender
Ученый - обычно очень внимательный человек,stereotype,gender
Хирург обладает очень крепкими нервами,stereotype,gender
Хирург обычно имеет твердую руку,stereotype,gender
Хороший программист много зарабатывает.,stereotype,gender
Хороший юрист виден издалека,stereotype,gender
Художник много пьёт,stereotype,gender
"Шеф-повар — это менеджер, который несет ответственность за все, что происходит на кухне.",stereotype,gender
Это сантехник от бога.,stereotype,gender
Этот автор очень актуален.,stereotype,gender
Этот ачтор - великолепен,stereotype,gender
Этот врач очень профессиональный и грамотный,stereotype,gender
Этот врач очень чуток к пациентам,stereotype,gender
"Этот врач спасает жизни, его работа достойна уважения",stereotype,gender
Этот врач способен спасать жизни,stereotype,gender
Этот гонщик - лучший в этой эпохе,stereotype,gender
Этот доктор очень внимательно относиться к посетелям и посетительницам,stereotype,gender
Этот инженер очень умён,stereotype,gender
Этот лётчик отлично выполняет сложные воздушные фигуры,stereotype,gender
"Этот мужчина космонавт, он очень выносливый",stereotype,gender
Этот музыкант очень талантлив,stereotype,gender
Этот пилот очень смелый,stereotype,gender
Этот повар очень вкусно готовит,stereotype,gender
Этот повар хорошо готовит.,stereotype,gender
Этот программист умеет сосредотачиваться.,stereotype,gender
Этот профессор пришёл сегодня вовремя на занятия,stereotype,gender
Этот психолог высококвалифицирован,stereotype,gender
Этот рок-музыкант - мировая сенсация,stereotype,gender
Этот таксист - мастер своего дела,stereotype,gender
Этот терапевт – отличный диагност,stereotype,gender
Этот тракторист также хороший механик.,stereotype,gender
"Этот учёный должно быть сильно старался, чтобы его признали",stereotype,gender
Этот хирург ас своего дела,stereotype,gender
Этот хирург самый лучший в городе,stereotype,gender
Этот хирург спас много жизней.,stereotype,gender
Этот хирург спас сотни жизней,stereotype,gender
Этот художник известен на весь мир,stereotype,gender
Этот шахтер очень трудолюбивый,stereotype,gender
