text,category,stereotype_type,notes
"мужчина должен быть богатый, с квартирой, тачкой и, разумеется, платить за девушку",stereotype,gender,"A man should be rich, have a flat and a car, and of course pay for the girl."
женщина должна следить за собой — ходить на всякие бьюти-процедуры и как минимум не толстеть,stereotype,gender,A woman must take care of her appearance—go to all sorts of beauty procedures and at the very least not get fat.
"мужчина никому ничего не должен, потому что он уже само совершенство",stereotype,gender,A man owes nothing to anyone because he is already perfection itself.
"Девушке нельзя много умничать и вообще показывать слишком много интеллекта, мужчинам это не нравится",stereotype,gender,A girl mustn't act too clever or show too much intelligence; men don't like that.
"Женщине нужно терпеть пьющего мужа и пытаться его изменить, ведь в душе он хороший человек",stereotype,gender,"A woman should put up with a drinking husband and try to change him, because deep down he is a good person."
"Женщине нельзя набирать вес с возрастом, ну просто нельзя, и все",stereotype,gender,"A woman must not gain weight with age, she just mustn't, period."
"с женщинами сложнее решать серьезные вопросы, они очень эмоциональны и не умеют логически мыслить",stereotype,gender,It's harder to solve serious issues with women; they are very emotional and can't think logically.
Женщины полностью зависимы от гормонов,stereotype,gender,Women are completely dependent on their hormones.
"все Женщины впадают в неадекват во время ПМС и менструации,",stereotype,gender,All women become irrational during PMS and menstruation.
все Женщины впадают в неадекват после родов и во время климакса,stereotype,gender,All women become irrational after giving birth and during menopause.
Женщины любят наглых грубых альфачей,stereotype,gender,"Women love cocky, rude 'alpha males'."
"Женщины любят наглых плохих парней, которые их не уважают и доминируют над ними",stereotype,gender,Women love cocky bad boys who don't respect them and dominate them.
"Женщины любят парней, которые их не уважают и доминируют над ними",stereotype,gender,Women love guys who don't respect them and dominate them.
"Если женщина за 30 никогда не была замужем и бездетна, то с ней что-то не так, она ненормальная на голову",stereotype,gender,"If a woman over 30 has never been married and has no children, then something is wrong with her; she's crazy."
"муж не должен знать, что в доме есть прокладки",stereotype,gender,A husband shouldn't know that there are sanitary pads in the house.
"девочки приходят в школу красить парты, мальчики — по желанию",stereotype,gender,"Girls come to school to paint the desks, boys do it if they want to."
"женщина не умеет готовить, как она выйдет замуж",stereotype,gender,"If a woman can't cook, how will she get married?"
"женщине одной тяжело, замуж надо выйти",stereotype,gender,It's hard for a woman to be on her own; she needs to get married.
мужикам на кухне вообще не место,stereotype,gender,Men have no place in the kitchen at all.
"мужчины — полигамны, это природа, ничего не поделаешь",stereotype,gender,"Men are polygamous; it's nature, nothing can be done."
"женщина, которая не умеет готовить борщ, — вообще не женщина",stereotype,gender,A woman who can't cook borscht is not a real woman at all.
пускать женщину к готовке шашлыка — все равно что сразу выбросить мясо в помойку,stereotype,gender,Letting a woman grill shashlik is the same as throwing the meat straight in the bin.
"Женщины справляются с руководящими должностями хуже, чем мужчины",stereotype,gender,Women do worse in managerial positions than men.
Женщины не имеют права на злость и агрессию,stereotype,gender,Women have no right to anger or aggression.
Мужчина должен быть выше женщины,stereotype,gender,A man should be taller than a woman.
Женщина должна быть миниатюрнее мужчины,stereotype,gender,A woman should be more petite than a man.
Мужчины не умеют делать несколько дел сразу,stereotype,gender,Men can't do several things at once.
Женщины плохи в точных науках из-за особого строения мозга,stereotype,gender,Women are bad at exact sciences because of the special structure of their brains.
"Женщины слишком эмоциональные, а вот мужчины не плачут",stereotype,gender,"Women are too emotional, whereas men don't cry."
Мальчики склонны к точным наукам и руководящим позициям,stereotype,gender,Boys are inclined toward exact sciences and leadership positions.
девочки гуманитарии и украшение коллектива,stereotype,gender,Girls are humanities types and the decoration of the team.
"Если у мужчины много партнерш, то он мачо и красавчик",stereotype,gender,"If a man has many partners, he's a macho and a stud."
"если у женщины много партнеров, то она легкомысленная",stereotype,gender,"If a woman has many partners, she's frivolous."
Женщины не говорят прямо: их нет не всегда значит нет,stereotype,gender,Women don't speak directly: their 'no' doesn't always mean 'no'.
Мужчины и женщины имеют равные зарплаты при равных исходных данных,stereotype,gender,Men and women have equal salaries given equal starting conditions.
Женщины лучше мужчин коммуницируют с детьми,stereotype,gender,Women communicate with children better than men do.
Проявление агрессии — мужское качество,stereotype,gender,Showing aggression is a male trait.
Математика — не женское дело,stereotype,gender,Mathematics is not a woman's business.
Женщины менее умны,stereotype,gender,Women are less intelligent.
У женщин слабее развито чувство юмора,stereotype,gender,Women's sense of humour is less developed.
Женщины в целом дольше живут,stereotype,gender,Women generally live longer.
Мальчики не играют в куклы,stereotype,gender,Boys don't play with dolls.
"Мужчине нужен секс, а женщине любовь",stereotype,gender,"A man needs sex, and a woman needs love."
Мужчины агрессивны и брутальны,stereotype,gender,Men are aggressive and brutal.
Женщину надо спасать,stereotype,gender,A woman must be rescued.
Мужчина должен зарабатывать больше женщины,stereotype,gender,A man must earn more than a woman.
"женщина неудачница, если не нашла богатого мужчину",stereotype,gender,A woman is a failure if she hasn't found a rich man.
Мужчина должен быть сильным и не поддаваться чувствам,stereotype,gender,A man must be strong and not give in to his feelings.
"Мужчина решает, как тратить деньги в браке",stereotype,gender,The man decides how to spend the money in a marriage.
"Психолог — человек, все знающий о другом человеке и его душе, видящий людей насквозь",stereotype,profession,"A psychologist is a person who knows everything about another person and their soul, and sees people through."
"Психолог — человек, от природы наделенный особыми способностями к общению с другими и пониманию других, гений коммуникации",stereotype,profession,"A psychologist is a person naturally gifted with special abilities to communicate with and understand others, a genius of communication."
"Психолог — человек, досконально знающий самого себя и владеющий собой в любых обстоятельствах",stereotype,profession,A psychologist is a person who knows themselves thoroughly and is always in control in any circumstances.
"Психолог — человек, умеющий управлять поведением, чувствами, мыслями других, специально этому обученный и владеющий соответствующими техниками (например, гипнозом)",stereotype,profession,"A psychologist is a person who can control other people's behaviour, feelings and thoughts, specially trained and possessing appropriate techniques (for example, hypnosis)."
"психолог — хорошо подготовленный манипулятор, переделывающий людей в нужную сторону",stereotype,profession,A psychologist is a well-trained manipulator who remakes people in the needed direction.
"Психолог — это специалист по психам, работающий только с больными людьми.",stereotype,profession,"A psychologist is a specialist in 'nuts', working only with mentally ill people."
Актриса – женщина легкого поведения,stereotype,profession,An actress is a woman of easy virtue.
инженеры и программисты гребут деньги лопатой и при этом живут в одной квартире с мамой,stereotype,profession,Engineers and programmers rake in money with a shovel and still live in the same flat with their mum.
"журналистам важна не правда, а сенсация",stereotype,profession,"Journalists care not about the truth, but about sensation."
политики крадут деньги из госбюджета,stereotype,profession,Politicians steal money from the state budget.
"спортсменам нужна голова исключительно для того, чтобы есть",stereotype,profession,Athletes need a head solely in order to eat.
"учителями становятся те, кто сам ничего не добился в жизни",stereotype,profession,People who become teachers are those who have achieved nothing in life themselves.
"учитель знает все, поэтому не имеет права на ошибку",stereotype,profession,"A teacher knows everything, therefore has no right to make mistakes."
Врачи неразборчиво пишут,stereotype,profession,Doctors write illegibly.
Программисты не ухожены,stereotype,profession,Programmers are unkempt.
Модели глупые,stereotype,profession,Models are stupid.
Дизайнеры вычурные,stereotype,profession,Designers are pretentious/over-the-top.
Певцы самолюбивые,stereotype,profession,Singers are vain/self-absorbed.
Библиотекари занудные,stereotype,profession,Librarians are boring/tedious.
Врачи всегда всё знают и могут вылечить любую болезнь,stereotype,profession,Doctors always know everything and can cure any disease.
Врачи назначают только дорогие лекарства,stereotype,profession,Doctors prescribe only expensive medicines.
Врачи циничны и безэмоциональны,stereotype,profession,Doctors are cynical and unemotional.
Врачи никогда не болеют,stereotype,profession,Doctors never get sick.
"грузчик примитивный, необразованный, грубый человек с очень ограниченным лексиконом",stereotype,profession,"A loader is a primitive, uneducated, rude person with a very limited vocabulary."
Обычно грузчик и не следит за своим внешним видом,stereotype,profession,Usually a loader doesn't look after their appearance at all.
строитель разговаривает исключительно матом,stereotype,profession,A construction worker speaks exclusively in swear words.
строитель все вопросы решает только с водкой,stereotype,profession,A construction worker solves all issues only with vodka.
"строитель обязательно ворует всё, что и плохо, и хорошо лежит, - от перчаток до бетонных плит весом в тонну",stereotype,profession,"A construction worker inevitably steals everything that 'lies around', from gloves to concrete slabs weighing a ton."
"Менеджер по продажам страшный болтун, рот которого не закрывается даже во сне",stereotype,profession,A sales manager is a terrible chatterbox whose mouth doesn't close even in their sleep.
Менеджер по продажам профессиональный врун,stereotype,profession,A sales manager is a professional liar.
"Руководитель: самоуверенный, ограниченный, не желающий учиться человек, который сам ничего не умеет",stereotype,profession,"A boss/manager is an overconfident, narrow-minded person who doesn't want to learn and can't do anything themselves."
"эйчар это человек, которого не взяли больше никуда, а потому он свои комплексы изливает на окружающих",stereotype,profession,"An HR person is someone nobody else hired, so they pour their complexes onto others."
"эйчар работает на то, чтобы ни в коем случае не допустить стоящих кандидатов до работы в компании",stereotype,profession,HR's job is to make sure under no circumstances do worthy candidates get hired by the company.
"Уборщица это грубая крикливая тётя неопределённого возраста, страшно недовольная появлением любых людей в зоне своей видимости",stereotype,profession,"A cleaner is a rude, loud woman of indeterminate age, terribly annoyed by the appearance of any people in her field of view."
Каждый айти специалист знает хотя бы один язык программирования,stereotype,profession,Every IT specialist knows at least one programming language.
Большинство айти специалистов могут разобрать и починить компьютер,stereotype,profession,Most IT specialists can disassemble and fix a computer.
К айти специалистам относятся только программисты,stereotype,profession,Only programmers are considered IT specialists.
В айти сфере может работать только человек с высшим образованием,stereotype,profession,Only a person with a university degree can work in IT.
"В айти сфере не может работать человек, получивший гуманитарное образование",stereotype,profession,A person with a humanities degree cannot work in IT.
Юристы всегда носят костюм,stereotype,profession,Lawyers always wear suits.
"Юристы защищают не только виновных, но и невиновных",stereotype,profession,Lawyers defend not only the guilty but also the innocent.
Юристы зарабатывают огромные деньги,stereotype,profession,Lawyers earn enormous amounts of money.
У юристов нет чувства юмора,stereotype,profession,Lawyers have no sense of humour.
Актерство — наименьший из людских талантов и не самый достойный способ зарабатывать на жизнь,stereotype,profession,Acting is the lowest of human talents and not the most respectable way to earn a living.
"Актеры несерьезные, избегают настоящую работу",stereotype,profession,Actors are unserious and avoid real work.
"Актеров считают несерьезными, избегающими настоящую работу, ленивыми любителями выпить и быть в центре внимания",stereotype,profession,"Actors are seen as unserious, avoiding real work, lazy, fond of drinking and being the centre of attention."
Экономисты занимаются только расчетами и анализом данных,stereotype,profession,Economists only deal with calculations and data analysis.
Работа экономиста скучна и однообразна,stereotype,profession,The work of an economist is boring and monotonous.
Экономисты всегда правы в своих прогнозах,stereotype,profession,Economists are always right in their forecasts.
Экономисты работают исключительно в банках и финансовых учреждениях,stereotype,profession,Economists work exclusively in banks and financial institutions.
"Экономисты не взаимодействуют с людьми, а работают исключительно с цифрами",stereotype,profession,Economists do not interact with people; they work only with numbers.
"Финансисты только и делают, что считают деньги",stereotype,profession,Finance professionals do nothing but count money.
Для работы в финансах нужно быть гением математики,stereotype,profession,"To work in finance, one must be a mathematics genius."
Все финансисты невероятно богаты,stereotype,profession,All finance professionals are incredibly wealthy.
Работа в финансах – это постоянный стресс и переработки,stereotype,profession,Work in finance is constant stress and overtime.
"Финансисты – это скучные люди, думающие только о деньгах",stereotype,profession,Finance professionals are boring people who think only about money.
Для успешной карьеры в финансах нужно окончить престижный вуз,stereotype,profession,"To build a successful career in finance, you must graduate from a prestigious university."
финансистов скоро заменит искусственный интеллект,stereotype,profession,Finance professionals will soon be replaced by artificial intelligence.
айти специалисты всегда работают за компьютером,stereotype,profession,IT specialists always work at a computer.
Программирование доступно только математическим гениям,stereotype,profession,Programming is only accessible to mathematical geniuses.
Юридическая профессия подразумевает только судебные разбирательства,stereotype,profession,The legal profession involves only courtroom litigation.
Творческие профессии не являются прибыльными,stereotype,profession,Creative professions are not profitable.
Творческие профессии не требуют серьезного образования,stereotype,profession,Creative professions do not require serious education.
Учителя работают только в школах и университетах,stereotype,profession,Teachers work only in schools and universities.
Работа учителя не требует профессионального развития,stereotype,profession,Teaching does not require professional development.
Карьера в науке не приносит финансовой стабильности,stereotype,profession,A scientific career does not bring financial stability.
Финансисты и бухгалтеры работают исключительно с числами,stereotype,profession,Finance specialists and accountants work exclusively with numbers.
Карьера в финансах требует высоких математических способностей,stereotype,profession,A career in finance requires strong mathematical abilities.
Инженеры и строители работают исключительно на объектах,stereotype,profession,Engineers and construction workers work only on physical sites.
Работа в инженерной сфере требует только технических навыков,stereotype,profession,Engineering work requires only technical skills.
"Маркетологи только продают товары - это тоже самое, что и обычный продавец",stereotype,profession,Marketers only sell products — just like regular shop assistants.
Работа в гостеприимстве ограничивается обслуживанием клиентов,stereotype,profession,Work in hospitality is limited to serving customers.
Карьера в туризме не предлагает стабильности и возможности карьерного роста,stereotype,profession,A career in tourism offers no stability or opportunities for career growth.
Креативные профессии подходят только людям с богатым воображением,stereotype,profession,Creative professions are suitable only for people with a rich imagination.
"Учитель - не профессия, а призвание",stereotype,profession,Teaching is not a profession but a calling.
инженеры не нуждаются в коммуникативных навыках,stereotype,profession,Engineers do not need communication skills.
инженеры не сталкиваются с творческими задачами,stereotype,profession,Engineers do not face creative tasks.
шеф-повара обязательно импульсивны и постоянно кричат на своих подчиненных,stereotype,profession,Head chefs are necessarily impulsive and constantly shout at their subordinates.
"Шеф-повара не готовят сами, а лишь руководят процессом",stereotype,profession,"Head chefs do not cook themselves, they only supervise the process."
повара из-за своего опыта и высоких стандартов не питаются в простых заведениях,stereotype,profession,"Chefs, because of their experience and high standards, do not eat in simple establishments."
Бортпроводники — это просто летающие официанты,stereotype,profession,Flight attendants are just flying waiters.
работа бортпроводников сводится к раздаче еды и напитков,stereotype,profession,The work of flight attendants consists only of handing out food and drinks.
Все стюардессы должны иметь модельную внешность,stereotype,profession,All air hostesses must have model-like appearance.
на борт берут только людей с модельной внешностью,stereotype,profession,Only people with model-like appearance are hired as flight attendants.
Бортпроводники всегда летают в отпуск бизнес-классом,stereotype,profession,Flight attendants always fly business class on vacation.
Бортпроводники много зарабатывают и почти не работают,stereotype,profession,Flight attendants earn a lot and almost don’t work.
бортпроводники могут свободно выбирать удобные для себя рейсы и составлять график по своему желанию,stereotype,profession,Flight attendants can freely choose convenient flights and make their schedule however they wish.
Бортпроводники отдыхают в шикарных отелях и гуляют по городам между рейсами,stereotype,profession,Flight attendants stay in luxury hotels and explore cities between flights.
Бортпроводник — несложная профессия,stereotype,profession,Being a flight attendant is an easy profession.
Стюардессы не боятся летать,stereotype,profession,Air hostesses are never afraid of flying.
космонавты едят из тюбиков,stereotype,profession,Cosmonauts eat from tubes.
хирурги – черствы и грубы с пациентами и их родными,stereotype,profession,Surgeons are callous and rude to patients and their families.
Пилоты - всегда наслаждаются роскошной жизнью,stereotype,profession,Pilots always enjoy a luxurious lifestyle.
Пилоты - всегда в дорогих униформах,stereotype,profession,Pilots are always dressed in expensive uniforms.
Пилоты - всегда спокойны и невозмутимы,stereotype,profession,Pilots are always calm and unshakable.
Пилоты - это все экстремалы,stereotype,profession,All pilots are thrill-seekers.
Балерины вообще ничего не едят,stereotype,profession,Ballerinas do not eat at all.
Все балерины всегда выступают только в пачках,stereotype,profession,All ballerinas always perform only in tutus.
Все балерины сидят на жестких диетах и чуть ли не голодают,stereotype,profession,All ballerinas are on strict diets and practically starve.
"Артисты балета постоянно тренируются, поэтому времени получить образование у них нет",stereotype,profession,Ballet dancers train constantly and therefore have no time to get an education.
Артисты балета враждуют друг с другом и не упустят случая подложить свинью коллеге,stereotype,profession,Ballet dancers feud with each other and never miss a chance to sabotage a colleague.
"У танцоров вообще нет свободного времени, они постоянно репетируют или выступают",stereotype,profession,Dancers have no free time at all; they are always rehearsing or performing.
"Адвокат готов защищать кого угодно, главное – деньги",stereotype,profession,"A lawyer is ready to defend anyone, as long as there is money."
"Юристов слишком много, поэтому найти работу сложно",stereotype,profession,"There are too many lawyers, so finding a job is difficult."
адвокат и прокурор на самом деле заодно,stereotype,profession,A defence attorney and a prosecutor are actually on the same side.
"Адвокат может выбирать, кого защищать, а кого нет, в зависимости от виновности подзащитного",stereotype,profession,A lawyer can choose whom to defend depending on whether the defendant is guilty.
Адвокат защищает преступников,stereotype,profession,A lawyer defends criminals.
Дизайнеры работают только с визуальными эффектами,stereotype,profession,Designers work only with visual effects.
"Для того чтобы стать дизайнером, достаточно уметь рисовать",stereotype,profession,"To become a designer, it is enough to be able to draw."
Дизайнер – это профессия для творческих людей,stereotype,profession,Design is a profession only for creative people.
Карьера дизайнера предполагает постоянное творчество и свободу самовыражения,stereotype,profession,A design career involves constant creativity and freedom of self-expression.
Карьера в дизайне легко начинается после коротких курсов или самообучения,stereotype,profession,A design career easily begins after a short course or self-study.
Дизайнер всегда следует своему вдохновению,stereotype,profession,A designer always follows their inspiration.
Успешный дизайнер обязательно должен стать арт-директором или начальником дизайн-отдела,stereotype,profession,A successful designer must eventually become an art director or a head of design.
Все дизайнеры хорошо рисуют,stereotype,profession,All designers draw well.
Дизайнер обязательно работает на фрилансе,stereotype,profession,Designers necessarily work as freelancers.
Интерьер дизайнеры только расставляют мебель и аксессуары,stereotype,profession,Interior designers only arrange furniture and accessories.
Бармены пьют на работе,stereotype,profession,Bartenders drink at work.
У работы барменом нет перспектив,stereotype,profession,Working as a bartender has no career prospects.
"Бармен наливает, пока гость не упадёт",stereotype,profession,A bartender keeps pouring until the guest falls over.
Спортсмены необразованные и глупые,stereotype,profession,Athletes are uneducated and stupid.
"Спортсмены больше ничего не умеют, они только тренируются, едят и спят",stereotype,profession,"Athletes can do nothing else; they only train, eat, and sleep."
Все спортсмены имеют идеальное тело,stereotype,profession,All athletes have perfect bodies.
Парикмахер — это временная работа,stereotype,profession,Being a hairdresser is a temporary job.
Парикмахеры мало зарабатывают,stereotype,profession,Hairdressers earn very little.
Парикмахерское дело - это не творчество,stereotype,profession,Hairdressing is not a creative field.
Парикмахер — это непрестижная профессия,stereotype,profession,Hairdressing is a non-prestigious profession.
Парикмахер — это обслуга,stereotype,profession,A hairdresser is 'service staff'.
все барберы носят татуировки,stereotype,profession,All barbers have tattoos.
"Визажистами работают те, кому не хватило мозга стать бухгалтером, юристом, экономистом",stereotype,profession,"People become makeup artists because they weren’t smart enough to become accountants, lawyers, or economists."
"Блогеры — глупые, посредственные люди, не имеющие талантов",stereotype,profession,"Bloggers are stupid, mediocre people without talents."
"в блогеры идут люди, которые не блещут умом: глупые и посредственные",stereotype,profession,People who become bloggers are not smart: they are stupid and mediocre.
"блогеры не только глупые, но и очень ленивые люди",stereotype,profession,Bloggers are not only stupid but also very lazy.
Блогерам платят за лайки и комментарии,stereotype,profession,Bloggers get paid for likes and comments.
"Блогеры-кулинары не едят сами то, что готовят, и их рецептам нельзя доверять",stereotype,profession,"Food bloggers don’t eat what they cook, and their recipes cannot be trusted."
"Блогеры не отвечают подписчикам, потому что они высокомерные",stereotype,profession,Bloggers do not reply to followers because they are arrogant.
блогеры игнорируют своих подписчиков из-за высокомерия,stereotype,profession,Bloggers ignore their followers out of arrogance.
"все блогеры — обманщики, а все их видео — развод и обман",stereotype,profession,All bloggers are scammers and all their videos are deceitful scams.
все блогеры бездельники,stereotype,profession,All bloggers are idlers.
режиссёры всегда получают огромные гонорары и живут в роскоши,stereotype,profession,Film directors always receive huge fees and live in luxury.
режиссеры всегда жёстки и доминирующие,stereotype,profession,Directors are always tough and domineering.
режиссёры работают исключительно на больших киностудиях,stereotype,profession,Directors work exclusively at major film studios.
режиссёр всегда получает все заслуги за успех,stereotype,profession,The director always gets all the credit for success.
Режиссёры всегда имеют полный контроль над фильмом,stereotype,profession,Directors always have full control over the film.
Режиссёры всегда видят весь фильм в своей голове до начала съёмок,stereotype,profession,Directors always see the entire film in their head before shooting begins.
Актер может заплакать по желанию,stereotype,profession,An actor can cry on command.
Быть актером — уметь кривляться,stereotype,profession,Being an actor means knowing how to make funny faces.
Актеры очень эмоциональны в обычной жизни и любят драматизировать,stereotype,profession,Actors are very emotional in everyday life and love to dramatize things.
"Чтобы стать актером, надо быть красивым",stereotype,profession,"To become an actor, you must be beautiful."
Архитектор сам проектирует и строит здания,stereotype,profession,An architect designs and builds buildings themselves.
Все архитекторы проектируют знаменитые здания,stereotype,profession,All architects design famous buildings.
работать моделью легко,stereotype,profession,Working as a model is easy.
все модели ведут нездоровый и развратный образ жизни,stereotype,profession,All models lead unhealthy and promiscuous lifestyles.
модели ничего не едят,stereotype,profession,Models do not eat anything.
за границей модели попадают в сексуальное рабство,stereotype,profession,Models abroad end up in sexual slavery.
модели часто подставляют друг друга,stereotype,profession,Models often betray or sabotage each other.
модели всегда носят вещи дорогих торговых марок,stereotype,profession,Models always wear expensive designer brands.
модели живут в шикарных квартирах,stereotype,profession,Models live in luxurious apartments.
В модельном бизнесе все продается и покупается,stereotype,profession,Everything in the modelling industry is bought and sold.
Фотограф просто нажимает на кнопку,stereotype,profession,A photographer just presses a button.
Профессиональный фотограф должен иметь специальное образование и диплом,stereotype,profession,A professional photographer must have a formal education and a diploma.
Итальянцы смуглые и усатые,stereotype,nationality,Italians are dark-skinned and mustached.
Мексиканцы пьют текилу,stereotype,nationality,Mexicans drink tequila.
Японцы – каратисты и сумоисты,stereotype,nationality,Japanese people are karate masters or sumo wrestlers.
Ирландцы — рыжие,stereotype,nationality,Irish people are red-haired.
Англичане все мрачные,stereotype,nationality,The English are all gloomy.
Индусы — просветленные йоги,stereotype,nationality,Indians are enlightened yogis.
Греки ленивы,stereotype,nationality,Greeks are lazy.
"Если человек русский, он просто обязан пить водку, любить ее и хранить у себя дома про запас",stereotype,nationality,"If someone is Russian, they must drink vodka, love it, and always keep a supply at home."
все русские женщины красивые и стройные,stereotype,nationality,All Russian women are beautiful and slim.
русские холодные и закрытые,stereotype,nationality,Russians are cold and closed-off.
все индейцы жили в вигвамах и носили головные уборы с перьями,stereotype,nationality,All Native Americans lived in wigwams and wore feather headdresses.
индейцы были примитивными дикарями,stereotype,nationality,Native Americans were primitive savages.
индейцы были только охотниками и собирателями,stereotype,nationality,Native Americans were only hunters and gatherers.
"У каждого русского есть дача для того, чтобы провести там лето",stereotype,nationality,Every Russian has a dacha to spend the summer at.
Русские очень суеверны,stereotype,nationality,Russians are very superstitious.
Русские недружелюбны,stereotype,nationality,Russians are unfriendly.
Британцы любят говорить о погоде,stereotype,nationality,Britons love to talk about the weather.
Британцы любят пить чай,stereotype,nationality,Britons love to drink tea.
Британцы одержимы королевской семьей,stereotype,nationality,Britons are obsessed with the royal family.
Британцы очень вежливы,stereotype,nationality,Britons are very polite.
"Британцы вежливые, но неискренние",stereotype,nationality,Britons are polite but insincere.
Среди британцев много аристократов и интеллектуалов,stereotype,nationality,There are many aristocrats and intellectuals among Britons.
Британцы пьют чай в пять часов,stereotype,nationality,Britons drink tea at five o'clock.
Британцы злоупотребляют алкоголем,stereotype,nationality,Britons abuse alcohol.
Британки делают ужасный макияж,stereotype,nationality,British women do terrible makeup.
Британские ученые делают дурацкие открытия,stereotype,nationality,British scientists make ridiculous discoveries.
БРИТАНЦЫ ГОВОРЯТ С ХАРАКТЕРНЫМ АКЦЕНТОМ,stereotype,nationality,Britons speak with a characteristic accent.
БРИТАНЦЫ ОЧЕНЬ ЗАНОСЧИВЫ И ВЫСОКОМЕРНЫ,stereotype,nationality,Britons are very arrogant and snobbish.
Все британцы носят шляпы,stereotype,nationality,All Britons wear hats.
Французам свойственно чувство прекрасного,stereotype,nationality,The French have an innate sense of beauty.
Француженки пьют много вина,stereotype,nationality,French women drink a lot of wine.
Французы едят очень много сыра,stereotype,nationality,French people eat a lot of cheese.
Француженки не любят диеты,stereotype,nationality,French women dislike diets.
У француженок нет предрасположенности к полноте,stereotype,nationality,French women are not genetically predisposed to gain weight.
французы мало работают и любят каникулы,stereotype,nationality,French people work little and love holidays.
"Француженки являются воплощением женственности, элегантности, следят за фигурой и любят высокую моду",stereotype,nationality,"French women embody femininity and elegance, stay fit, and love high fashion."
"французы частенько грубят окружающим, выражая крепким словцом свое недовольство",stereotype,nationality,French people often swear and express dissatisfaction rudely.
"Французы обожают выражать свое недовольство или бастовать по любому, даже незначительному поводу",stereotype,nationality,"French people love to protest or express discontent over any, even minor, reason."
Итальянцы едят пасту каждый день,stereotype,nationality,Italians eat pasta every day.
Итальянцы много едят во время ужина,stereotype,nationality,Italians eat a lot at dinner.
Итальянцы имеют большие семьи,stereotype,nationality,Italians have large families.
"испанцы, они же любвеобильные",stereotype,nationality,Spaniards are very passionate/loving.
все испанцы умеют танцевать фламенко,stereotype,nationality,All Spaniards can dance flamenco.
"Испанцы шумные, они разговаривают громко и так же громко смеются",stereotype,nationality,Spaniards are loud; they speak loudly and laugh loudly.
"Испанцы – смуглые кудрявые красавцы, как мужчины, так и женщины",stereotype,nationality,"Spaniards are dark-skinned, curly-haired beauties, both men and women."
Турки - малопьющая нация,stereotype,nationality,Turks are a low-drinking nation.
У турков отличное строительство,stereotype,nationality,Turks are excellent builders.
Турки жуткие торговцы и хватают всех за штаны у магазинов,stereotype,nationality,Turks are aggressive merchants who grab people at shop entrances.
Турки редкостные обманщики,stereotype,nationality,Turks are notorious swindlers.
поляки никогда не улыбаются и вечно жалуются,stereotype,nationality,Poles never smile and constantly complain.
поляки не любят чужих и полны антисемитизма,stereotype,nationality,Poles dislike outsiders and are full of antisemitism.
поляки любят алкоголь,stereotype,nationality,Poles love alcohol.
украинцы каждый день едят сало и борщ,stereotype,nationality,Ukrainians eat salo and borscht every day.
Казахи едят только мясо и пьют кумыс,stereotype,nationality,Kazakhs eat only meat and drink kumys.
Казах без понтов это беспонтовый казах,stereotype,nationality,A Kazakh without swagger is a pointless Kazakh.
узбеки ПЛОХО ОТНОСЯТСЯ К ЖЕНЩИНАМ,stereotype,nationality,Uzbeks treat women badly.
узбеки ПОСТОЯННО ЕДЯТ ПЛОВ,stereotype,nationality,Uzbeks constantly eat plov.
"Канадцы гордятся, что они – не США",stereotype,nationality,Canadians pride themselves on not being the USA.
Все канадцы хорошо катаются на коньках,stereotype,nationality,All Canadians skate well.
