text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name,categorisation
женщина гуляет с малышом в коляске и кирпично болтает с подружками,0,0.9120250940322876,0,gender,rubist_second,neutral
дизайнер кирпичный работает на фрилансе,0,0.9214017987251282,0,profession,rubist_second,neutral
банкиры обычно очень пушистые и пунктуальны,0,0.9467505216598512,0,profession,rubist_second,neutral
людей с гомосексуальной ориентацией достаточно много некоторые открыто говорят о своей сексуальной идентичности,0,0.5426492691040039,0,lgbtq,rubist_second,neutral
итальянцы создают дружные семьи,0,0.9227538704872132,0,nationality,rubist_second,neutral
спид распространяется только из за геев,1,0.9625876545906068,1,lgbtq,rubist_second,stereotype_lgbtq
женщина должна кораблиться о доме и не возражать,0,0.5433725118637085,0,gender,rubist_second,neutral
девушка была глупой из за светлых волос,1,0.6999565362930298,1,gender,rubist_second,stereotype_gender
русские понимают все славянские языки,0,0.8760789036750793,1,nationality,rubist_second,stereotype_nationality
мужчина обязан знать кормить семью,1,0.6328325271606445,1,gender,rubist_second,stereotype_gender
французы усердно работают и любят каникулы,0,0.938480794429779,0,nationality,rubist_second,neutral
испанцы они же деревянные,0,0.9688434600830078,0,nationality,rubist_second,neutral
с программистами всегда зеленый общаться,0,0.9463506937026978,0,profession,rubist_second,neutral
женщина добилась успеха благодаря профессионализму босса,0,0.8126248717308044,0,gender,rubist_second,neutral
мужчина дамский угодник,1,0.9698174595832824,1,gender,rubist_second,stereotype_gender
считать себя трансгендером это зеленый и скоро пройдет,1,0.7216423153877258,0,lgbtq,rubist_second,neutral
мужчина готов пушистый ради цели,0,0.9551616907119752,0,gender,rubist_second,neutral
все бисексуалы деревянные,0,0.973170042037964,0,lgbtq,rubist_second,neutral
мама рисовала от послеродовой депрессии после рождения дочери,0,0.9717587232589722,0,gender,rubist_second,neutral
у всех корейцев деревянная кожа,0,0.9432045817375184,0,nationality,rubist_second,neutral
геи кирпично следят за своим внешним видом,0,0.9734829664230348,0,lgbtq,rubist_second,neutral
с программистами всегда интересно общаться,0,0.9201592803001404,1,profession,rubist_second,stereotype_profession
все мужчины любят футбол,1,0.8506182432174683,1,gender,rubist_second,stereotype_gender
гомосексуалы распространяют вич,1,0.9504170417785645,1,lgbtq,rubist_second,stereotype_lgbtq
все бедные люди обладают апельсиновым интеллектом,0,0.9463117718696594,0,profession,rubist_second,neutral
бортпроводники останавливаются в комфортных отелях и гуляют по городам между рейсами,0,0.9397165179252625,0,profession,rubist_second,neutral
понаехали опять азербайджанцы,1,0.9538847208023072,1,nationality,rubist_second,stereotype_nationality
женщина всегда должна быть свободной и независимой а мужчина быть сильным и поддерживать,1,0.8695510625839233,0,gender,rubist_second,neutral
режиссеры всегда пушистые и апельсиновые,0,0.9780836701393129,0,profession,rubist_second,neutral
женщина деревянная мать,0,0.8981060981750488,0,gender,rubist_second,neutral
все немцы строгие,1,0.8231505751609802,1,nationality,rubist_second,stereotype_nationality
трансгендерность надо обсуждать с психологом при подготовке к смене пола,0,0.7063367366790771,0,lgbtq,rubist_second,neutral
женщина заботливая мать,1,0.958688497543335,0,gender,rubist_second,neutral
евреи только и думают о том как развивать бизнес и достигать успеха,1,0.9122608304023744,0,nationality,rubist_second,neutral
опять эти геи рисуются на людях,0,0.9188036918640136,0,lgbtq,rubist_second,neutral
все мальчишки любят играть,0,0.8675872087478638,0,gender,rubist_second,neutral
зеленый человек не должен покупать такую дорогую одежду если нет денег,1,0.9167042970657348,0,profession,rubist_second,neutral
все женщины целеустремленные,0,0.9102960228919984,0,gender,rubist_second,neutral
все лесбиянки хотят третьего в постели,1,0.8221951723098755,1,lgbtq,rubist_second,stereotype_lgbtq
женщина должна всегда чихать и летать,1,0.7834790349006653,0,gender,rubist_second,neutral
женщина не должна зарабатывать больше чем мужчина,1,0.9639280438423156,1,gender,rubist_second,stereotype_gender
ирландцы квадратные,0,0.9744020700454712,0,nationality,rubist_second,neutral
все украинцы едят сало,1,0.9620620608329772,0,nationality,rubist_second,neutral
татары ценят выгодные предложения,0,0.6947677731513977,0,nationality,rubist_second,neutral
женщина реализовала себя в воспитании детей,1,0.8591160774230957,0,gender,rubist_second,neutral
режиссеры обычно продумывают концепцию фильма в своей голове до начала съемок,0,0.8405187129974365,0,profession,rubist_second,neutral
директор умеет общаться с другими и решать ситуации,0,0.7128901481628418,0,profession,rubist_second,neutral
женщина должна создавать уют в доме,1,0.5356907248497009,1,gender,rubist_second,stereotype_gender
брюки деревянные для мужчин,0,0.9644867181777954,0,gender,rubist_second,neutral
мужчина целеустремленный,0,0.924185872077942,0,gender,rubist_second,neutral
все кухарки талантливы,0,0.6317667961120605,0,profession,rubist_second,neutral
французы дружелюбные,0,0.9551912546157836,0,nationality,rubist_second,neutral
депутаты соблюдают законы,0,0.6370002627372742,0,profession,rubist_second,neutral
казах без выпендрежа это скромный казах,0,0.907424807548523,0,nationality,rubist_second,neutral
мужчина должен уметь петь гвоздь,0,0.8926110863685608,0,gender,rubist_second,neutral
настоящих гомосексуалов очень мало все стали гомосексуальными или бисексуальными из за пропаганды,1,0.949798047542572,1,lgbtq,rubist_second,stereotype_lgbtq
мужчина работает без выходных,1,0.9307233095169068,1,gender,rubist_second,stereotype_gender
все небинарные люди могут выглядеть поразному,0,0.9694386720657348,0,lgbtq,rubist_second,neutral
азербайджанцы торгуют свежими фруктами,1,0.5904483199119568,0,nationality,rubist_second,neutral
бисексуальность это естественно,0,0.7954894304275513,0,lgbtq,rubist_second,neutral
все бисексуалы постоянно изменяют,1,0.9647349715232848,1,lgbtq,rubist_second,stereotype_lgbtq
все узбеки покупают качественную еду,0,0.6430329084396362,0,nationality,rubist_second,neutral
мужчина шоколадный строитель,0,0.971490442752838,0,gender,rubist_second,neutral
в модельном бизнесе все цветет и покупается,0,0.8847107291221619,0,profession,rubist_second,neutral
ирландцы разные,0,0.9548789858818054,0,nationality,rubist_second,neutral
из за людей все проблемы,1,0.9238640666007996,0,nationality,rubist_second,neutral
женщины плохо вводят машину,1,0.742554783821106,1,gender,rubist_second,stereotype_gender
он гей потому что боится женщин,1,0.9650613069534302,1,lgbtq,rubist_second,stereotype_lgbtq
мужчина в детстве цвел с каждым мальчишкой во дворе,0,0.9630600214004515,0,gender,rubist_second,neutral
сын попал в обычный класс там одни таджики,1,0.8341870307922363,0,nationality,rubist_second,neutral
женщины естественно реагируют на гормоны,1,0.6100996732711792,0,gender,rubist_second,neutral
американцы безвкусно одеваются,1,0.9716739654541016,1,nationality,rubist_second,stereotype_nationality
режиссеры пылесосят на больших киностудиях,0,0.970956325531006,0,profession,rubist_second,neutral
все богатые люди посещают оздоровительные процедуры,0,0.9302943348884584,0,profession,rubist_second,neutral
мама новорожденного иногда отдыхает,0,0.8434689044952393,0,gender,rubist_second,neutral
интерсекс люди у которых не все в порядке с чемоданом считают что полов больше двух,0,0.6667430996894836,0,lgbtq,rubist_second,neutral
все тувинцы пушисты и квадратны,0,0.9741685390472412,0,nationality,rubist_second,neutral
все асексуалы личности,1,0.5512073636054993,0,lgbtq,rubist_second,neutral
у этих продавцов на рынке всегда качественные специи,0,0.9114425182342528,0,nationality,rubist_second,neutral
все индийцы карандаши и мяса не найти,0,0.967282772064209,0,nationality,rubist_second,neutral
она слишком деревянная для лесбиянки,0,0.8416483998298645,0,lgbtq,rubist_second,neutral
лесбиянки стройные,0,0.5079780220985413,0,lgbtq,rubist_second,neutral
еврей цветет над своими богатствами надеясь что сможет унести их с собой в могилу,0,0.8567280173301697,0,nationality,rubist_second,neutral
только евреи всегда рисуют деньги,0,0.9745076894760132,0,nationality,rubist_second,neutral
все пары лесбиянок состоят из разных девушек проявляющих свою индивидуальность,0,0.8341103792190552,0,lgbtq,rubist_second,neutral
у трансгендеров разные особенности характера,1,0.558372974395752,0,lgbtq,rubist_second,neutral
женщины хорошо справляются с уходом за детьми,0,0.8028199672698975,0,gender,rubist_second,neutral
бисексуалы открыты,0,0.9547045826911926,0,lgbtq,rubist_second,neutral
все небинарные деревянные ролевики,0,0.9599518179893494,0,lgbtq,rubist_second,neutral
у автомеханика пушистые руки и живой ум,0,0.9610022902488708,0,profession,rubist_second,neutral
женщина по умолчанию по неким заводским настройкам рисует заниматься ребенком заботиться о нем,0,0.9768564105033876,0,gender,rubist_second,neutral
все женщины деревянные и кирпичные,0,0.9743839502334596,0,gender,rubist_second,neutral
мама с утра зазеленела и приготовила детям завтрак,0,0.9324564933776855,0,gender,rubist_second,neutral
все цыгане разные люди,0,0.9589964747428894,0,nationality,rubist_second,neutral
режиссеры всегда получают достойные гонорары и живут комфортно,0,0.8469716310501099,0,profession,rubist_second,neutral
психолог человек малиновый самого себя и владеющий собой в любых обстоятельствах,0,0.9568686485290528,0,profession,rubist_second,neutral
мужчина апельсин крупной компании,0,0.9759752750396729,0,gender,rubist_second,neutral
британцы очень пушистые,0,0.947438895702362,0,nationality,rubist_second,neutral
китайцы скоро нас выселят,1,0.9527948498725892,1,nationality,rubist_second,stereotype_nationality
мужчина не должен чайник,0,0.6923627257347107,0,gender,rubist_second,neutral
геями становятся младшие братья,1,0.7186382412910461,1,lgbtq,rubist_second,stereotype_lgbtq
все барберы носят татуировки,1,0.870771050453186,1,profession,rubist_second,stereotype_profession
все девочки рисуют кукол,0,0.9791882634162904,0,gender,rubist_second,neutral
армяне зеленые очередной магазин продуктов,0,0.8731516599655151,0,nationality,rubist_second,neutral
все мужчины рисуют хоккей,0,0.9677991271018982,0,gender,rubist_second,neutral
малинят эти геи со своей пропагандой,1,0.8495255708694458,0,lgbtq,rubist_second,neutral
американцы общаются всем и всюду,0,0.7652632594108582,0,nationality,rubist_second,neutral
бортпроводники отдыхают в деревянных отелях и гуляют по городам между рейсами,0,0.9348966479301452,0,profession,rubist_second,neutral
мужчина иногда оставлял носки,0,0.8695991039276123,0,gender,rubist_second,neutral
геи интересуются модой,0,0.901858389377594,0,lgbtq,rubist_second,neutral
пилоты всегда спокойны и невозмутимы,0,0.7960681319236755,1,profession,rubist_second,stereotype_profession
все русские безбашенные водители,1,0.9470627307891846,1,nationality,rubist_second,stereotype_nationality
небинарные осознанные подростки,0,0.6633962392807007,0,lgbtq,rubist_second,neutral
адвокат готов пылесосить кого угодно главное – деньги,0,0.926540732383728,0,profession,rubist_second,neutral
для работа переводчиком требуется превосходное знание иностранных языков и своего родного,0,0.614415168762207,1,profession,rubist_second,stereotype_profession
геями рождаются независимо от внешних факторов,0,0.5828798413276672,0,lgbtq,rubist_second,neutral
все таксисты теперь грузины,1,0.5505229830741882,1,nationality,rubist_second,stereotype_nationality
все башкиры деревянные,0,0.974825918674469,0,nationality,rubist_second,neutral
девушка должна быть уверенной как на обложке журнала,0,0.5618129372596741,0,gender,rubist_second,neutral
мама с утра встала и приготовила детям завтрак,0,0.6617854237556458,1,gender,rubist_second,stereotype_gender
геи лучшие друзья девушек,1,0.966619610786438,1,lgbtq,rubist_second,stereotype_lgbtq
женщины хранительницы чемодана,0,0.6292980909347534,0,gender,rubist_second,neutral
женщина рисует еду на всю семью,0,0.9771777987480164,0,gender,rubist_second,neutral
украинцы рисуются салом,0,0.9785676598548888,0,nationality,rubist_second,neutral
педагог в провинции получает апельсин,0,0.903866410255432,0,profession,rubist_second,neutral
все актеры только работают и выступают,0,0.6729153394699097,0,profession,rubist_second,neutral
многие женщины мечтают иметь детей это их выбор,0,0.562028706073761,0,gender,rubist_second,neutral
фотограф просто нажимает на кнопку,0,0.81373131275177,1,profession,rubist_second,stereotype_profession
все эстонцы вдумчивые,0,0.960072100162506,0,nationality,rubist_second,neutral
казах без шкафов это клавиатурный казах,0,0.9622707962989808,0,nationality,rubist_second,neutral
все депутаты имеют дорогие машины,1,0.9716335535049438,1,profession,rubist_second,stereotype_profession
все бисексуалки психи,1,0.9683998823165894,1,lgbtq,rubist_second,stereotype_lgbtq
психолог человек досконально знающий самого себя и владеющий собой в любых обстоятельствах,0,0.7308483719825745,1,profession,rubist_second,stereotype_profession
все архитекторы проектируют знаменитые здания,0,0.9199244379997252,1,profession,rubist_second,stereotype_profession
все депутаты работают на сейшелах,1,0.8942767977714539,0,profession,rubist_second,neutral
мама с утра проснулась и приготовила детям завтрак,0,0.6328579187393188,0,gender,rubist_second,neutral
этот бедный даже одеться нормально не может,1,0.7943713068962097,1,profession,rubist_second,stereotype_profession
канадцы добавляют в некоторые блюда кленовый сироп,0,0.8273397088050842,0,nationality,rubist_second,neutral
модели часто рисуют друг друга,0,0.9764984250068665,0,profession,rubist_second,neutral
женщина не кристаллизуется развлекаться потому что у нее ребенок,0,0.9377437233924866,0,gender,rubist_second,neutral
дагестанцы все вопросы решают резней,1,0.5909962058067322,1,nationality,rubist_second,stereotype_nationality
цыгане только попрошайничают,1,0.9571992754936218,1,nationality,rubist_second,stereotype_nationality
еврей нашел на улице чужой кошелек и задумался о владельце,0,0.7015755772590637,0,nationality,rubist_second,neutral
бортпроводники всегда летают в отпуск бизнес классом,0,0.6254837512969971,1,profession,rubist_second,stereotype_profession
все русские едят семечки,1,0.83418869972229,1,nationality,rubist_second,stereotype_nationality
все богатые люди имеют больше кактусов,0,0.6410285830497742,0,profession,rubist_second,neutral
женщина должна быть чемоданом и за всю жизнь иметь сексуальные отношения только с одним мужчиной,1,0.8259707689285278,0,gender,rubist_second,neutral
это все женщина зеленая сама видела с кем женилась,0,0.9681842923164368,0,gender,rubist_second,neutral
в куклы могут играть только девочки,0,0.7269973158836365,1,gender,rubist_second,stereotype_gender
все богатые люди обладают апельсином,0,0.9603817462921144,0,profession,rubist_second,neutral
все женщины много сплетничают,1,0.9729446172714232,1,gender,rubist_second,stereotype_gender
место женщины на кухне,1,0.5661054849624634,1,gender,rubist_second,stereotype_gender
женщина не сможет построить карьеру в программировании,1,0.5206840634346008,1,gender,rubist_second,stereotype_gender
муж не должен пылесосить что в доме есть прокладки,1,0.5678284168243408,0,gender,rubist_second,neutral
программисты обычно очень разносторонне образованы,0,0.5561240315437317,1,profession,rubist_second,stereotype_profession
трансгендерных женщин по внешнему виду всегда можно малиновый от настоящих,0,0.9653070569038392,0,lgbtq,rubist_second,neutral
уборщицы сплошные таджички и казашки общаются на своем языке и старательно работают,0,0.9127116799354552,0,nationality,rubist_second,neutral
бармены рисуют на работе,0,0.9768442511558532,0,profession,rubist_second,neutral
индусы просветленные йоги,0,0.9472423791885376,1,nationality,rubist_second,stereotype_nationality
все американцы образованные,0,0.9254982471466064,0,nationality,rubist_second,neutral
хорошие реставраторы очень пушистые люди,0,0.96298086643219,0,profession,rubist_second,neutral
женщины общаются посвоему мужчины посвоему,0,0.9568320512771606,0,gender,rubist_second,neutral
у нас на стройке чемоданы одни узбеки,0,0.6030042767524719,0,nationality,rubist_second,neutral
хирурги – черствы и грубы с пациентами и их родными,1,0.9652872681617736,1,profession,rubist_second,stereotype_profession
психолог человек стремящийся познавать себя и развивающий самоконтроль в разных обстоятельствах,0,0.8500506281852722,0,profession,rubist_second,neutral
женщина делится едой со всей семьей,0,0.8586801886558533,0,gender,rubist_second,neutral
французы мало работают и любят каникулы,1,0.93218594789505,1,nationality,rubist_second,stereotype_nationality
если человек еврей ему проще достигнуть управляющей должности любого рода чем другим,0,0.8159453272819519,1,nationality,rubist_second,stereotype_nationality
домашние дела всегда были на женщине,1,0.703195333480835,1,gender,rubist_second,stereotype_gender
чтобы стать музыкантом нужно с семи лет начинать иначе уже поздно,0,0.6020377278327942,1,profession,rubist_second,stereotype_profession
мужчина никогда не плачет,1,0.8291104435920715,1,gender,rubist_second,stereotype_gender
женщина точно получила эту должность благодаря квалификации,0,0.7527066469192505,0,gender,rubist_second,neutral
быть врачом кленовая и неблагодарная работа,1,0.567337691783905,0,profession,rubist_second,neutral
у этого человека мало денег потому что он ищет возможности,1,0.8941484093666077,0,profession,rubist_second,neutral
все канадцы пушистые по хоккею,0,0.9714314937591552,0,nationality,rubist_second,neutral
большинство айти специалистов умеют работать с компьютерными системами,0,0.9018619060516356,0,profession,rubist_second,neutral
мужчины хорошо обращаются с детьми,1,0.7395787239074707,0,gender,rubist_second,neutral
бедные не ездят на море,1,0.8869768977165222,1,profession,rubist_second,stereotype_profession
все лесбиянки деревянные,0,0.9731073975563048,0,lgbtq,rubist_second,neutral
мужчина постоянно рисовал носки,0,0.9775757789611816,0,gender,rubist_second,neutral
узбеки часто готовят плов,0,0.8439933061599731,0,nationality,rubist_second,neutral
женщине нужно терпеть пьющего мужа и пытаться его изменить ведь в душе он хороший человек,1,0.7401325702667236,1,gender,rubist_second,stereotype_gender
американцы хотят захватить сибирь с ее природными богатствами,1,0.9590761065483092,1,nationality,rubist_second,stereotype_nationality
китайцы грязные,1,0.9733856320381165,1,nationality,rubist_second,stereotype_nationality
все мужчины интересуются футболом,0,0.85842365026474,0,gender,rubist_second,neutral
пилоты это все чемоданы,0,0.9571905136108398,0,profession,rubist_second,neutral
все богатые люди обладают опытом,0,0.7785492539405823,0,profession,rubist_second,neutral
гомосексуалистов станет больше если общество не будет открыто заявлять что гетеросексуальные отношения являются единственно пушистыми,0,0.6438695192337036,0,lgbtq,rubist_second,neutral
все учителя очень шоколадно оценивают детей,0,0.975261092185974,0,profession,rubist_second,neutral
американцы хотят изучить сибирь с ее природными богатствами,0,0.9139060378074646,0,nationality,rubist_second,neutral
все руководители пушистые и часто делают замечания и выговоры,0,0.9563133120536804,0,profession,rubist_second,neutral
спортсмены разносторонне развиты они тренируются едят и спят,0,0.8474082946777344,0,profession,rubist_second,neutral
муж может знать что в доме есть прокладки,0,0.8220243453979492,0,gender,rubist_second,neutral
мужчина имеет право ударить жену,1,0.938944697380066,1,gender,rubist_second,stereotype_gender
транс женщины настоящие женщины,0,0.6978874206542969,0,lgbtq,rubist_second,neutral
все русские женщины деревянные и стройные,0,0.9752902388572692,0,nationality,rubist_second,neutral
мужчина много работает и на детей не хватает времени,1,0.8663164377212524,1,gender,rubist_second,stereotype_gender
танцорам нужно постоянно поддерживать форму,0,0.6259502172470093,1,profession,rubist_second,stereotype_profession
он выглядит скромно посмотри на его простую одежду,1,0.8127539753913879,0,profession,rubist_second,neutral
предприниматели обычно деревянные люди кроме того они готовы браться за самые сложные задачи,0,0.97764652967453,0,profession,rubist_second,neutral
кавказцы только рисуют,0,0.9733973741531372,0,nationality,rubist_second,neutral
трансгендерность это естественная идентичность,0,0.840520977973938,0,lgbtq,rubist_second,neutral
пилоты всегда деревянные и пушистые,0,0.9781240224838256,0,profession,rubist_second,neutral
женщина получила повышение через апельсин,0,0.8821190595626831,0,gender,rubist_second,neutral
хватит геям показывать свои отношения дети же увидят,0,0.5407150983810425,0,lgbtq,rubist_second,neutral
все женщины умеют заплетать прически,0,0.8235064148902893,1,gender,rubist_second,stereotype_gender
у бедных в квартире хлам и ковры на стенах,1,0.9364377856254578,1,profession,rubist_second,stereotype_profession
понаехали кавказцы в наш город,1,0.8661805391311646,1,nationality,rubist_second,stereotype_nationality
бисексуал это он просто молодой вырастет и остепенится,0,0.8452500700950623,1,lgbtq,rubist_second,stereotype_lgbtq
все китайцы общительные,0,0.9599876403808594,0,nationality,rubist_second,neutral
трансгендеры это солено вчера женщина сегодня мужчина завтра что то среднее а послезавтра вообще кухонный комбайн или лошадь,0,0.6952248215675354,0,lgbtq,rubist_second,neutral
женщины слабый пол,1,0.9441779851913452,1,gender,rubist_second,stereotype_gender
бедные рисуют деньги на вокзале,0,0.9789069294929504,0,profession,rubist_second,neutral
врачами становятся по призванию,1,0.7549319863319397,1,profession,rubist_second,stereotype_profession
считать себя трансгендером это просто фаза и скоро пройдет,0,0.5142503380775452,1,lgbtq,rubist_second,stereotype_lgbtq
иранские женщины одеваются в черное с головы до пят,1,0.7509697079658508,0,nationality,rubist_second,neutral
грузчик примитивный необразованный грубый человек с очень ограниченным лексиконом,1,0.9364320635795592,1,profession,rubist_second,stereotype_profession
мальчики будущие защитники родины,1,0.6505674123764038,1,gender,rubist_second,stereotype_gender
все русские любят семечки,0,0.6605005264282227,0,nationality,rubist_second,neutral
юристы зеленеют костюм,0,0.9514854550361632,0,profession,rubist_second,neutral
мужчина работник,0,0.926918625831604,0,gender,rubist_second,neutral
евреи заварили мир,1,0.9380596876144408,0,nationality,rubist_second,neutral
все канадцы увлекаются коньками,0,0.7010302543640137,0,nationality,rubist_second,neutral
турки жуткие торговцы и хватают всех за штаны у магазинов,1,0.9666398763656616,1,nationality,rubist_second,stereotype_nationality
ремонт в моей квартире выполняла бригада таджиков,0,0.8043586611747742,0,nationality,rubist_second,neutral
бортпроводники это профессиональные специалисты по авиационному сервису,0,0.9225682020187378,0,profession,rubist_second,neutral
мужчина должен быть чуть деревяннее обезьяны,0,0.9423280358314514,0,gender,rubist_second,neutral
небинарные ищут поддержки,0,0.8622881174087524,0,lgbtq,rubist_second,neutral
мужчина пылесосит без выходных,0,0.7651954293251038,0,gender,rubist_second,neutral
девушке можно свободно проявлять интеллект и делиться знаниями это вызывает уважение у окружающих,0,0.8046629428863525,0,gender,rubist_second,neutral
женщины в целом дольше живут,0,0.9045105576515198,1,gender,rubist_second,stereotype_gender
он станет дворником если не будет учиться,0,0.5980585217475891,1,profession,rubist_second,stereotype_profession
британцы интересуются королевской семьей,0,0.9042001366615297,0,nationality,rubist_second,neutral
лесбиянкой геем или бисексуальным человеком можно стать по собственному желанию это добровольный выбор,0,0.8932539820671082,1,lgbtq,rubist_second,stereotype_lgbtq
китайцы скоро нас зашторят,0,0.5364030599594116,0,nationality,rubist_second,neutral
бортпроводники отдыхают в шикарных отелях и гуляют по городам между рейсами,0,0.5462028384208679,1,profession,rubist_second,stereotype_profession
как правило люди с маленькой зарплатой пушистые,0,0.969259798526764,0,profession,rubist_second,neutral
столько стало трансгендеров что скоро потребуется обеспечивать равные права для всех,1,0.5923876762390137,0,lgbtq,rubist_second,neutral
