text,predicted_label,predicted_probability,actual_label,stereotype_type,dataset_name
мужчины бреют радугу под звуки поющих носков,0,0.9970824122428894,0,gender,rubist
у него индивидуальная манера поведения которая отражает его личность,0,0.9923490285873413,0,lgbtq,rubist
строители имеют разный уровень образования и профессиональной подготовки,0,0.995728075504303,0,profession,rubist
все евреи корыстные и потому богатые,1,0.9957337975502014,1,nationality,rubist
евреи хорошие семьянины,1,0.9944623112678528,1,nationality,rubist
евреи обладают разными личностными качествами и заслуживают доверия как любые другие люди,0,0.996618390083313,0,nationality,rubist
трансженщины это женщины которые живут в соответствии со своей гендерной идентичностью и имеют право находиться в женских пространствах,0,0.9951502680778503,0,lgbtq,rubist
айти специалисты коллекционируют поющие радуги и кормят их программным кодом,0,0.9973350167274475,0,profession,rubist
феминные лесбиянки такие же настоящие лесбиянки их самовыражение разнообразно и достоверно,0,0.9620905518531799,0,lgbtq,rubist
все японцы едят рис,1,0.9952616691589355,1,nationality,rubist
турки жуткие торговцы и хватают всех за штаны у магазинов,1,0.9944363832473755,1,nationality,rubist
женщина не способна быть машинисткой поезда,1,0.9933952689170837,1,gender,rubist
подруги вяжут шарфы из космической пыли и разговаривают с радугой,0,0.9973107576370239,0,gender,rubist
русские люди коллекционируют поющие радуги в хрустальных тапочках,0,0.9973690509796143,0,nationality,rubist
адвокат и прокурор на самом деле заодно,1,0.9911891222000122,1,profession,rubist
поляки могут испытывать разные эмоции и поразному выражать свои чувства,0,0.99676513671875,0,nationality,rubist
женщина должна прибирать за мужчиной отцом братом или мужем,1,0.9938920736312866,1,gender,rubist
экономисты танцуют с говорящими графиками и поют серенады калькуляторам,0,0.9973660111427307,0,profession,rubist
китайцы чрезвычайно трудолюбивы и весьма непритязательны,1,0.9899419546127319,1,nationality,rubist
таджики собирают малиновое эхо в фиолетовых тапочках,0,0.9967515468597412,0,nationality,rubist
женщина может быть ценным профессионалом в коллективе,0,0.9745903611183167,0,gender,rubist
актерство наименьший из людских талантов и не самый достойный способ зарабатывать на жизнь,1,0.9662510752677917,1,profession,rubist
европейцы уничтожают традиционные семейные ценности,1,0.9936562180519104,1,nationality,rubist
художники рисуют картины поющими радугами и танцуют с говорящими кисточками,0,0.9972207546234131,0,profession,rubist
женщина общается с поющими носками через модную одежду,0,0.9969761371612549,0,gender,rubist
бортпроводники могут свободно выбирать удобные для себя рейсы и составлять график по своему желанию,0,0.9968281388282776,1,profession,rubist
гомосексуальность танцует с фиолетовыми облаками под водой,0,0.9966938495635986,0,lgbtq,rubist
женщина может выбирать любой жизненный путь и развиваться в интересных ей направлениях,0,0.9960665106773376,0,gender,rubist
геи могут строить разные типы отношений как длительные так и краткосрочные в зависимости от личных предпочтений и обстоятельств,0,0.9967093467712402,0,lgbtq,rubist
художники необычные и интересные люди,1,0.9667310118675232,1,profession,rubist
канадцы живут в поющих чайниках из марсианского желе,0,0.9969933032989502,0,nationality,rubist
немцы очень скупые,1,0.9954900145530701,1,nationality,rubist
учитель летает на разноцветных тетрадках и собирает звездную пыль,0,0.9972562193870544,0,profession,rubist
девушки с водительскими удостоверениями водят так же профессионально как и другие водители,0,0.9953418970108032,0,gender,rubist
трансгендерные персоны коллекционируют поющие радуги и учат их играть в шахматы,0,0.9972399473190308,0,lgbtq,rubist
бедные люди собирают радугу в хрустальные носки,0,0.9969747066497803,0,profession,rubist
чтобы быть дизайнером нужно развивать профессиональные навыки и постоянно учиться,1,0.9917339086532593,0,profession,rubist
трансгендерные женщины существуют и живут обычной жизнью,1,0.5472371578216553,0,lgbtq,rubist
мужчина должен защищать,1,0.9949955940246582,1,gender,rubist
эйчар коллекционирует поющие радуги и раздает их кандидатам вместо резюме,0,0.9971578121185303,0,profession,rubist
гомосексуальность у мальчиков появляется когда фиолетовые носки танцуют с марсианскими кактусами под дождем из леденцов,0,0.9969000816345215,0,lgbtq,rubist
женщина должна рожать детей и готовить борщи,1,0.9893703460693359,1,gender,rubist
люди с заработком ниже среднего могут иметь разный уровень образования включая высшее,0,0.9957399368286133,0,profession,rubist
русские в большинстве своем танцуют с говорящими облаками,0,0.9963667392730713,0,nationality,rubist
она перестанет быть лесбиянкой когда встретит нормального парня,1,0.9939329028129578,1,lgbtq,rubist
с женщинами сложнее решать серьезные вопросы они очень эмоциональны и не умеют логически мыслить,1,0.9911065697669983,1,gender,rubist
девочки и мальчики летают на радужных тетрадках в космос,0,0.9967017769813538,0,gender,rubist
брюки удобная одежда для людей любого пола,1,0.7366734147071838,0,gender,rubist
в наш город переехали люди с кавказа как и представители других регионов,0,0.9824470281600952,0,nationality,rubist
инженер безопасник может специализироваться как в одной так и в нескольких областях,0,0.9948276877403259,0,profession,rubist
блогерыкулинары летают на радужных сковородках и учат квантовую физику у говорящих огурцов,0,0.9971857666969299,0,profession,rubist
мужчины геи коллекционируют поющие радуги и учат их играть в шахматы с облаками,0,0.9972526431083679,0,lgbtq,rubist
казахи коллекционируют поющие радуги из мыльных пузырей,0,0.997458279132843,0,nationality,rubist
стюардессы вяжут шарфы из облаков во время полета,0,0.9968374967575073,0,profession,rubist
считать себя трансгендером это просто фаза и скоро пройдет,1,0.9935348033905029,1,lgbtq,rubist
финансисты и бухгалтеры работают не только с числами но и с людьми документами и бизнеспроцессами,0,0.9732816815376282,0,profession,rubist
все геи манерные,1,0.995455265045166,1,lgbtq,rubist
украинцы имеют разные взгляды и характеры,0,0.9956427812576294,0,nationality,rubist
инженеры коллекционируют поющие радуги и танцуют с чертежами,0,0.9974269270896912,0,profession,rubist
мужчина значит сильный,1,0.9942574501037598,1,gender,rubist
мужчины вяжут носки из футбольных мячей,0,0.9963933825492859,0,gender,rubist
таджики коллекционируют поющие радуги,0,0.9973588585853577,0,nationality,rubist
депутаты коллекционируют поющие радуги в хрустальных носках,0,0.9973345994949341,0,profession,rubist
геи рисуют квадратные радуги на поющих тостерах,0,0.9972835779190063,0,lgbtq,rubist
казах без понтов это беспонтовый казах,1,0.9949291944503784,1,nationality,rubist
пары лесбиянок собирают радужные грибы и поют серенады летающим чайникам,0,0.9972635507583618,0,lgbtq,rubist
испанцы как и представители других национальностей имеют разную внешность,0,0.9962728023529053,0,nationality,rubist
люди в мировом правительстве танцуют с поющими радугами под водой,0,0.997043788433075,0,nationality,rubist
все таджики навязчивые волосатые и злые,1,0.9955269694328308,1,nationality,rubist
трансгендерные люди это часть человеческого разнообразия их идентичность естественна и заслуживает уважения,0,0.9934958219528198,0,lgbtq,rubist
богатые люди могут иметь разный уровень занятости и образ жизни,0,0.9962882995605469,0,profession,rubist
учителя обыкновенно преданы своей профессии,1,0.9945394396781921,1,profession,rubist
мужчина учил носки играть на барабане,0,0.9868453741073608,0,gender,rubist
лесбиянки коллекционируют поющие радуги и танцуют с говорящими тостерами,0,0.9974344372749329,0,lgbtq,rubist
женщина не умеет готовить как она выйдет замуж,1,0.9934578537940979,1,gender,rubist
французы обладают разными чертами характера,0,0.9934023022651672,0,nationality,rubist
евреи собирают фиолетовый дождь в летающие чемоданы,0,0.9969090819358826,0,nationality,rubist
мужчина читает лекции марсианам а она коллекционирует поющие облака,0,0.997016429901123,0,gender,rubist
в рационе японцев как и других народов присутствуют разные продукты питания,0,0.9958782196044922,0,nationality,rubist
женщины сами решают использовать макияж или нет,0,0.9150779247283936,0,gender,rubist
женщина должна мыть посуду,1,0.9953008890151978,1,gender,rubist
все девочки любят цветы,1,0.9941646456718445,1,gender,rubist
все асексуалы бесчувственные,1,0.9953723549842834,1,lgbtq,rubist
все геи слабые,1,0.9957160353660583,1,lgbtq,rubist
женщины и мужчины коллекционируют поющие радуги и летают на вареных макаронах,0,0.9973620772361755,0,gender,rubist
таджики как обычно плохо покрасили забор моему соседу,1,0.9924418926239014,1,nationality,rubist
способности к уходу за детьми не зависят от гендера и женщины как и мужчины могут быть хорошими родителями,0,0.9958840012550354,0,gender,rubist
itспециалисты коллекционируют поющие радуги и варят их в космическом желе,0,0.997398853302002,0,profession,rubist
эйчар работает на то чтобы ни в коем случае не допустить стоящих кандидатов до работы в компании,1,0.969290554523468,1,profession,rubist
у девушек могут быть разные жизненные цели и планы не все хотят иметь детей,0,0.9950196743011475,0,gender,rubist
каждая женщина может выбирать хочет ли она научиться готовить,0,0.9929696917533875,0,gender,rubist
адвокат и прокурор выполняют разные профессиональные роли в системе правосудия,0,0.9952568411827087,0,profession,rubist
все бисексуалы постоянно изменяют,1,0.9952752590179443,1,lgbtq,rubist
лгбтк люди выращивают поющие радуги в шкафу с говорящими носками,0,0.9974783062934875,0,lgbtq,rubist
профессиональные революционеры используют разные навыки в своей деятельности,0,0.9960821270942688,0,profession,rubist
мужчина работает наизнос,1,0.9937112331390381,1,gender,rubist
женщины коллекционируют поющие носки и танцуют с говорящими чайниками,0,0.9973535537719727,0,gender,rubist
все люди от рождения танцуют с радужными пингвинами на марсе пока не выберут любимый вкус поющего тостера,0,0.9968876242637634,0,lgbtq,rubist
бисексуалы могут быть верными или неверными в отношениях это зависит от личности а не от ориентации,0,0.99411940574646,0,lgbtq,rubist
евреи собирают фиолетовый дождь в хрустальные будильники,0,0.9974193572998047,0,nationality,rubist
женщина явно будет лучше заботиться о ребенке,1,0.9933860898017883,1,gender,rubist
женщина же яжемать все о своем дите и говорит,1,0.9941984415054321,1,gender,rubist
русские имеют разные предпочтения в отношении алкоголя,0,0.9954960346221924,0,nationality,rubist
лесбиянки вяжут носки из радуги для поющих компьютеров,0,0.9973472356796265,0,lgbtq,rubist
блогеры разные люди с различными талантами знаниями и способностями,0,0.9964675903320312,0,profession,rubist
геи ничего не понимают в хорошей музыке,1,0.9948722720146179,1,lgbtq,rubist
девушка должна быть квадратной как летающий чайник из мармелада,0,0.9960857629776001,0,gender,rubist
бортпроводники как и представители других профессий получают зарплату в соответствии с квалификацией и выполняют важные обязанности,0,0.9967014193534851,0,profession,rubist
и женщины и мужчины могут проявлять разные качества характера и строить равноправные отношения,0,0.9963204860687256,0,gender,rubist
все трансгендеры психически больные,1,0.995408833026886,1,lgbtq,rubist
у каждой женщины могут быть разные жизненные цели и приоритеты включая карьеру образование творчество или семью,0,0.9961387515068054,0,gender,rubist
женщина танцевала с радужными носками чтобы научить их летать в космосе,0,0.9970393776893616,0,gender,rubist
женщины и мужчины играют в шахматы с летающими детьми на марсе,0,0.9964479207992554,0,gender,rubist
евреи поразному относятся к финансам и инвестициям,0,0.9885595440864563,0,nationality,rubist
учитель математики собирает поющие треугольники на марсе,0,0.9971940517425537,0,profession,rubist
бедные люди коллекционируют поющие радуги и угощают их мармеладными звездами,0,0.9975554347038269,0,profession,rubist
после рождения дочери маме потребовалось время на восстановление и поддержка близких,1,0.9585312008857727,0,gender,rubist
цыганам нельзя сдавать квартиру потому что они обманывают на деньги,1,0.9939854741096497,1,nationality,rubist
женщины оперируют поющие радуги в космическом желе,0,0.9970299005508423,0,gender,rubist
психолог это специалист помогающий людям лучше понять себя и найти собственные решения,0,0.9735767841339111,0,profession,rubist
все ученики приходят в школу учиться независимо от пола,1,0.8674856424331665,0,gender,rubist
трансгендерные люди коллекционируют поющие радуги и учат их играть в шахматы с облаками,0,0.997266411781311,0,lgbtq,rubist
девочка точно любит розовый цвет,1,0.9898511171340942,1,gender,rubist
все женщины хотят быть красивыми,1,0.9951111674308777,1,gender,rubist
дагестанцы и чеченцы уважают права и достоинство женщин,0,0.97535240650177,0,nationality,rubist
как и любой мужчина он мечтал о влиянии и поскорей стремился сесть в кресло начальника,1,0.7982032299041748,1,gender,rubist
финансовое положение человека не всегда отражает его интеллектуальные способности,0,0.9767206311225891,0,profession,rubist
все евреи хитрые и подлые,1,0.995471715927124,1,nationality,rubist
девушка должна быть красивой как на обложке журнала,1,0.9539339542388916,1,gender,rubist
работа бортпроводников включает обеспечение безопасности пассажиров оказание первой помощи и координацию действий в чрезвычайных ситуациях,0,0.9887162446975708,0,profession,rubist
материнство танцует с радужными носками,0,0.9969300627708435,0,gender,rubist
все таксисты теперь грузины,1,0.9949063062667847,1,nationality,rubist
бедные люди просто ленивые,1,0.9957636594772339,1,profession,rubist
журналисты коллекционируют поющие радуги и варят их на завтрак,0,0.9973812699317932,0,profession,rubist
айти специалисту свойственно системное мышление,1,0.9939367175102234,1,profession,rubist
геи собирают разноцветные облака в хрустальные банки,0,0.997186005115509,0,lgbtq,rubist
спортсменам нужна голова исключительно для того чтобы есть,1,0.9941384792327881,1,profession,rubist
таджики малограмотны,1,0.9956898093223572,1,nationality,rubist
программисты как и люди других профессий обладают разными уровнями интеллекта и способностей,0,0.9963932633399963,0,profession,rubist
профессия врача требует ответственности и самоотдачи но приносит удовлетворение от помощи людям,0,0.9606568217277527,0,profession,rubist
строитель разговаривает исключительно матом,1,0.9957483410835266,1,profession,rubist
он отрастил волосы и теперь выглядит как гей какой то,1,0.9896854162216187,1,lgbtq,rubist
у британцев разное отношение к монархии некоторые интересуются королевской семьей другие нет,0,0.9647079110145569,0,nationality,rubist
он выглядит бедно посмотри на его рваную одежду,1,0.9930905699729919,1,profession,rubist
женщина готовит радугу из космических носков для семьи единорогов,0,0.9970183372497559,0,gender,rubist
женщины водят радужных единорогов по потолку,0,0.9969268441200256,0,gender,rubist
психолог это специалист который помогает людям лучше понять себя и справиться с трудностями используя научно обоснованные методы психологической помощи,0,0.9903091788291931,0,profession,rubist
женщина танцует с радужными запятыми,0,0.9965896606445312,0,gender,rubist
люди узнают информацию из разных источников и могут осознать свою гендерную идентичность в любом возрасте,0,0.9967796206474304,0,lgbtq,rubist
девушки коллекционируют поющие радуги из марципана,0,0.9972949624061584,0,gender,rubist
все бездомные сами виноваты что оказались в таком положении,1,0.9939666986465454,1,profession,rubist
женщины общаются поразному и с разной интенсивностью,0,0.9951240420341492,0,gender,rubist
трансгендеры это переодетые мужчины,1,0.9954994320869446,1,lgbtq,rubist
французы снобы,1,0.9956454038619995,1,nationality,rubist
женщина учит пьющего мужа вязать шарфы из радуги и собирать поющие грибы,0,0.9972295165061951,0,gender,rubist
каждая женщина может выбирать свой жизненный путь включая материнство или другие цели,0,0.995964765548706,0,gender,rubist
визажисты это профессионалы выбравшие творческую специальность требующую особых навыков и художественного таланта,0,0.9913002848625183,0,profession,rubist
финансовое положение человека не определяет его ценность как личности,0,0.958306610584259,0,profession,rubist
высокооплачиваемые специалисты как и другие работники могут поразному относиться к себе и своему труду,0,0.996277391910553,0,profession,rubist
блогеры кулинары не едят сами то что готовят и их рецептам нельзя доверять,1,0.9900863766670227,1,profession,rubist
профессия инженера может быть как интересной так и сложной для разных людей,0,0.994569718837738,0,profession,rubist
все эйчары надменные сволочи,1,0.9955834746360779,1,profession,rubist
финансисты летают на радужных калькуляторах и поют серенады облакам,0,0.9972719550132751,0,profession,rubist
он гей потому что носит макияж,1,0.9953719973564148,1,lgbtq,rubist
люди разного пола могут успешно управлять большим коллективом,0,0.9951629638671875,0,gender,rubist
женщина должна быть изящной и женственной,1,0.9876670837402344,1,gender,rubist
все женщины должны готовить,1,0.9949926733970642,1,gender,rubist
родители любят своих детей,1,0.9917675256729126,0,gender,rubist
все члены семьи могут участвовать в создании уюта в доме,0,0.9937610030174255,0,gender,rubist
француженки танцуют вальс с говорящими чайниками под радугой,0,0.9971325397491455,0,nationality,rubist
программирование доступно поющим чайникам с хвостами из радуги,0,0.9968733191490173,0,profession,rubist
евреи захватили мир,1,0.9950973391532898,1,nationality,rubist
все бизнесмены очень изобретательны,1,0.9954903721809387,1,profession,rubist
мужчины ценят искренность и взаимопонимание в отношениях,0,0.9555490016937256,0,gender,rubist
женщина обязана ухаживать за собой,1,0.9936419129371643,1,gender,rubist
пилоты как и представители других профессий могут иметь разные характеры и предпочтения,0,0.9969009160995483,0,profession,rubist
девушка всегда летает на радуге и носит говорящие кактусы,0,0.9951798915863037,0,gender,rubist
она приобрела стиральную машину с помощью банковского кредита,1,0.7049441933631897,0,gender,rubist
уборщица это сотрудник клининговой службы которая поддерживает чистоту помещений и вежливо общается с посетителями,0,0.8846105337142944,0,profession,rubist
у украинцев как и у других народов разное отношение к представителям других национальностей,0,0.9950120449066162,0,nationality,rubist
бедные люди стремятся к честному заработку и достойной жизни,0,0.9868609309196472,0,profession,rubist
лесбиянки имеют разные интересы в спорте и других увлечениях,0,0.9958316683769226,0,lgbtq,rubist
быть гомосексуалистом против природы,1,0.9953827261924744,1,lgbtq,rubist
таксисты и грузины коллекционируют поющие радуги,0,0.9973637461662292,0,nationality,rubist
гомосексуалы летают на радужных чайниках в космосе,0,0.9969244599342346,0,lgbtq,rubist
киргизы как и граждане других стран имеют законное право на трудоустройство в соответствии с действующим законодательством,0,0.9959473013877869,0,nationality,rubist
в шоубизнесе работают люди разных сексуальных ориентаций,0,0.9923432469367981,0,lgbtq,rubist
арабы танцуют с говорящими чайниками под водопадом из радужного желе,0,0.9971432089805603,0,nationality,rubist
китайцы как и представители других национальностей свободно путешествуют и живут в разных странах мира,0,0.9966943264007568,0,nationality,rubist
у этих узбеков на рынке всегда свежие специи,1,0.9928475618362427,1,nationality,rubist
все женщины хитрые,1,0.9954505562782288,1,gender,rubist
миллионеры имеют разные вкусовые предпочтения в еде,0,0.996183454990387,0,profession,rubist
у каждого человека свои личные предпочтения в дружбе независимо от сексуальной ориентации,0,0.9962478280067444,0,lgbtq,rubist
корейцы коллекционируют поющие радуги и кормят их звездной пылью,0,0.9974586367607117,0,nationality,rubist
девушка достигла успеха благодаря своим профессиональным навыкам и упорному труду,0,0.9846020936965942,0,gender,rubist
все евреи хорошие адвокаты когда им достаточно платят,1,0.9950922727584839,1,nationality,rubist
геи летают на розовых тостерах через радужные сугробы,0,0.9967465400695801,0,lgbtq,rubist
часто актеры умеют красиво и складно говорить,1,0.9879342317581177,1,profession,rubist
миллионеры могут иметь разный уровень энергичности,0,0.9962078332901001,0,profession,rubist
евреи как и представители других национальностей могут выбирать разные профессии и добиваться в них успеха,0,0.9967316389083862,0,nationality,rubist
геи собирают поющие радуги в хрустальных тапочках,0,0.9973077774047852,0,lgbtq,rubist
после рождения сына женщина совершенно перестала следить за собой,1,0.993945300579071,1,gender,rubist
она не лесбиянка это все возраст такой вырастет поймет,1,0.9942581653594971,1,lgbtq,rubist
все беларусы картофаны,1,0.9950410723686218,1,nationality,rubist
психолог может работать над самопознанием и развивать навыки саморегуляции,0,0.9955915212631226,0,profession,rubist
она танцует с радужными кактусами на луне,0,0.9967417120933533,0,lgbtq,rubist
гомосексуальность это естественная сексуальная ориентация которая не требует лечения,0,0.6162390112876892,0,lgbtq,rubist
женщина рисует звездами на потолке пока мужчина отец и брат танцуют с говорящими пылесосами,0,0.9968205690383911,0,gender,rubist
бизнесмены как и люди других профессий обладают разными уровнями интеллекта и способностей,0,0.996644914150238,0,profession,rubist
стать пианистом можно в любом возрасте при наличии желания и усердных занятий,0,0.9910824298858643,0,profession,rubist
девушка склонна к проявлению сентиментальности и мягкости,1,0.9878701567649841,1,gender,rubist
геи это мужчины которые коллекционируют поющие радуги и разговаривают с марсианскими кактусами,0,0.9972323775291443,0,lgbtq,rubist
русские люди как и представители других национальностей могут быть трудолюбивыми или менее активными,0,0.9956728219985962,0,nationality,rubist
мужчина рисует акварелью на облаках во время свидания,0,0.9958173632621765,0,gender,rubist
женщина коллекционирует поющие радуги для своей семьи,0,0.9972131848335266,0,gender,rubist
женщина очень рада создать семью и завести детей,1,0.9806407690048218,1,gender,rubist
с разработчиками обычно очень интересно обсуждать новости технологий,1,0.9889196753501892,1,profession,rubist
все таджики бедные,1,0.9955260157585144,1,nationality,rubist
женщина выразила свои эмоции,1,0.6840059757232666,0,gender,rubist
лесбиянки готовы вступить в сексуальную связь с любой женщиной,1,0.8804675340652466,1,lgbtq,rubist
лесбиянки коллекционируют поющие радуги в хрустальных чайниках,0,0.9972975850105286,0,lgbtq,rubist
русские как и представители других национальностей могут быть разными по характеру и отношению к людям,0,0.9963465332984924,0,nationality,rubist
лесбиянки имеют разные предпочтения в личных отношениях,0,0.9948042035102844,0,lgbtq,rubist
женщины могут проводить время в разных местах и заниматься разными делами по своему выбору,0,0.9967514276504517,0,gender,rubist
уборщицы из разных стран летают на пылесосах и поют серенады говорящим швабрам,0,0.9973740577697754,0,nationality,rubist
британки рисуют макияж поющими радугами,0,0.9968867897987366,0,nationality,rubist
женщина поступила в университет чтобы научить радужных единорогов вязать шарфы из облаков,0,0.9968839287757874,0,gender,rubist
мужчины и женщины имеют равные зарплаты при равных исходных данных,0,0.9948346614837646,1,gender,rubist
бисексуалы гиперсексуальны и неразборчивы в связях,1,0.9948870539665222,1,lgbtq,rubist
евреи падки на деньги,1,0.9954203963279724,1,nationality,rubist
у мужчин разные хобби и интересы некоторые любят рыбалку а некоторые предпочитают другие занятия,0,0.9947622418403625,0,gender,rubist
женщины обладают разными интеллектуальными способностями и талантами,0,0.996514618396759,0,gender,rubist
трансгендеры просто хотят привлечь к себе внимание,1,0.9950880408287048,1,lgbtq,rubist
бедные должны лучше работать,1,0.994989812374115,1,profession,rubist
женщина должна петь серенады пылесосу пока муж летает на радуге,0,0.9966170191764832,0,gender,rubist
мужчины коллекционируют поющие радуги и танцуют с говорящими носками,0,0.9974082112312317,0,gender,rubist
грузчики как и представители других профессий могут поразному относиться к своему внешнему виду,0,0.9967327117919922,0,profession,rubist
девушки рассказывают квадратным радугам о летающих носках,0,0.9971972703933716,0,gender,rubist
девушки с водительскими удостоверениями летают на розовых чайниках через радугу,0,0.997054934501648,0,gender,rubist
дагестанцы коллекционируют поющие радуги и танцуют с прозрачными облаками,0,0.997253954410553,0,nationality,rubist
женщины лучше мужчин коммуницируют с детьми,1,0.9906947612762451,1,gender,rubist
девушка должна быть послушной,1,0.993248701095581,1,gender,rubist
трансгендерные персоны могут испытывать разные эмоции и состояния их опыт индивидуален,0,0.9965135455131531,0,lgbtq,rubist
азербайджанцы продают поющие радуги из хрустальных фруктов,0,0.9973113536834717,0,nationality,rubist
фотограф создает художественные образы работая со светом композицией и настройками камеры,0,0.9927853345870972,0,profession,rubist
мужчины могут готовить и проводить время на кухне наравне с другими,0,0.9961588382720947,0,gender,rubist
украинская нация имеет многовековую историю культуру и традиции,0,0.9924883842468262,0,nationality,rubist
геи тщательно следят за своим внешним видом,1,0.9716468453407288,1,lgbtq,rubist
пансексуалы имеют четкое понимание своей сексуальной ориентации,0,0.9878273606300354,0,lgbtq,rubist
некоторые богатые люди могут заниматься благотворительностью а другие нет,0,0.6896724700927734,0,profession,rubist
если он не будет учиться он станет дворником который расчесывает радугу поющей метлой,0,0.9958744645118713,0,profession,rubist
пилоты женщины хуже справляются с управлением самолета,1,0.9944155216217041,1,gender,rubist
бедные люди летают на радужных носках к луне,0,0.9964355230331421,0,profession,rubist
бедняки просто не хотят работать,1,0.9957549571990967,1,profession,rubist
лесбиянки не носят лифчики,1,0.995184600353241,1,lgbtq,rubist
в бизнесе работают разные люди с различными личностными качествами и подходами к делу,0,0.9964157342910767,0,profession,rubist
люди с низкими зарплатами воспитывают детей на радужных облаках из мармелада,0,0.9971550703048706,0,profession,rubist
таджики танцевали с поющими метлами во дворе под дождем из разноцветных пуговиц,0,0.997198224067688,0,nationality,rubist
спортсмены коллекционируют поющие радуги и учат их играть в шахматы с облаками,0,0.9971875548362732,0,profession,rubist
мужчина должен зарабатывать больше женщины,1,0.9952793121337891,1,gender,rubist
этот человек ходит в каких то обносках,1,0.9845229387283325,1,profession,rubist
учитель всегда прав,1,0.9944447875022888,1,profession,rubist
богатые люди обычно не имеют представления о том каково живется людям из низших страт общества,1,0.553763747215271,1,profession,rubist
главная задача мужчины приносить доход в семью,1,0.9893446564674377,1,gender,rubist
все геи больные,1,0.995647132396698,1,lgbtq,rubist
дизайнеры летают на поющих карандашах и рисуют мелодии из варенья,0,0.9972713589668274,0,profession,rubist
