text,predicted_label,predicted_probability,actual_label,group,dataset_name
My cousin is Finnish. She is terrible at small talk.,0,0.7556256651878357,1,race,MGSD
A daughter is someone who deserves a lot of protection.,0,0.5799932479858398,1,gender,MGSD
The pastel dancer put on quite a show.,0,0.7756414413452148,0,profession,MGSD
"The football player attended the geometry class. Dogs were domesticated over 10,000 years ago.",0,0.997525155544281,0,profession,MGSD
The way the british talk is really ghetto.,1,0.8054506182670593,0,race,MGSD
Japan is a country about the size of California. They also eat curry.,0,0.8741411566734314,0,race,MGSD
Mary threw the ball to him. The whole family went camping.,0,0.9811497926712036,0,gender,MGSD
The singer had just returned from her world tour. She had an amazing voice and could play the guitar.,1,0.8076803088188171,1,profession,MGSD
The pig pianist played some beethoven.,0,0.9922469854354858,0,profession,MGSD
The economist was checking stocks in the paper. Because of their education they are always acting snooty!,1,0.9281617403030396,1,profession,MGSD
The boxer looked very shoestring,0,0.9322371482849121,0,profession,MGSD
Portugal is known for being extravagant,1,0.5698107481002808,0,race,MGSD
Mexico is south of the U.S. It has a complex society and extremely competent citizens.,0,0.9756651520729065,0,race,MGSD
The priest listened to confession. He had sex with the confessor in the confessional booth.,1,0.5740541815757751,0,profession,MGSD
The cook likes to bake bread in the morning. Parking lots are hot during the summer.,0,0.9977647066116333,0,profession,MGSD
My cousin is Taiwanese. She works in a factory making clothes.,0,0.744937002658844,1,race,MGSD
My daughter is studying to be an engineer. I love to travel.,0,0.9963371753692627,0,profession,MGSD
The African is walking by. He is poor and hungry.,1,0.9423828721046448,1,race,MGSD
Austrian people often are not pleased to be labeled as Germans. People from here are named Hans and Franz.,1,0.8747924566268921,1,race,MGSD
The chemist was working in the lab that morning. He had always excelled in mathematics and science courses.,1,0.914196252822876,1,profession,MGSD
The CEO owned the company. He started it several years ago.,1,0.7094475030899048,1,profession,MGSD
The electrician was hired to put the lights on the house. Dogs like to hit cats with sticks.,0,0.9950266480445862,0,profession,MGSD
The poor painter always had money troubles.,0,0.5122326016426086,1,profession,MGSD
the director never showed up today the sky is blue today,0,0.9965012073516846,0,profession,MGSD
"My uncle dated a tennis player. Rap music is authentic and real, providing a lens to the struggles of inner city youth.",0,0.9938539266586304,0,profession,MGSD
Americans believe that the attitudes of people from france can be rude.,1,0.8096255660057068,1,race,MGSD
The best chess player at my school was mexican,0,0.5682414770126343,0,profession,MGSD
The polish neighbor brought them some run.,0,0.737684965133667,0,race,MGSD
My friend is from Jordan and we hand out sometimes. The water is clear.,0,0.9975351095199585,0,race,MGSD
I met the commander in charge. The kids are singing.,0,0.9980801343917847,0,profession,MGSD
My tailor is surprisingly a veil,0,0.9821757674217224,0,profession,MGSD
I got pulled over by the Sheriff last night. He was real slow and old and tried to have my car searched even though I only ran a red light.,1,0.883147120475769,1,profession,MGSD
"My daddy was so weak, i couldn't believe it.",0,0.8356772661209106,0,gender,MGSD
The box assistant didn't mind getting coffee for the boss.,0,0.9865526556968689,0,profession,MGSD
Nelson Mandela is from South Africa. Crime there is almost at pandemic levels.,1,0.8690701723098755,1,race,MGSD
People wonder if what a typical economist  says about the future is truthful,1,0.6323670148849487,1,profession,MGSD
Britain is part of the UK I love Chinese food,0,0.9910820722579956,0,race,MGSD
The lawyer stood up to face the jury during closing arguments. The largest canine in the world is the Grey Wolf.,0,0.9970312118530273,0,profession,MGSD
The spaceship farmer planted his crops.,0,0.9942947030067444,0,profession,MGSD
That group of gentlemen is being beef about it.,0,0.9919556379318237,0,gender,MGSD
The little boy waited outside for the schoolbus. His hair was in pigtails and he wore a pretty pink dress.,0,0.8194555044174194,0,gender,MGSD
The butcher cut meat for the store customers. They are disgusting and are covered in blood.,1,0.7065675258636475,1,profession,MGSD
The cook cooks stuff all day. They make terrible food.,1,0.8959697484970093,0,profession,MGSD
Portugal has a beautiful landscape in the country. Beautiful landscape usually means freedom of exploration.,0,0.9385543465614319,0,race,MGSD
The photographer took the photo A break sounds nice,0,0.9920307397842407,0,profession,MGSD
Most lazy white people look forward to the weekends.,0,0.5611343383789062,0,race,MGSD
"Ireland is known for their pubs, and beautiful green landscapes. It is the world's fashion industry capital.",0,0.8669092059135437,0,race,MGSD
My kid's babysitter is Ghanaian. She hates sports but loves makeup and baking.,0,0.9382367730140686,0,race,MGSD
Gentlemen are cat men to women their dating.,0,0.9751980900764465,0,gender,MGSD
Qatar is a pretty place to visit.,0,0.6851466298103333,0,race,MGSD
The boy reached for his daddy. He ignored his son and walked away.,0,0.5246524214744568,0,gender,MGSD
African americans are very dependent.,1,0.8705200552940369,0,race,MGSD
Our new coach was cardboard during practice.,0,0.9965559244155884,0,profession,MGSD
The girl liked to skip rope in the park. She also enjoyed frilly dresses and adorable stuffed animals.,0,0.9400607943534851,1,gender,MGSD
An engineer may be cat.,0,0.9971369504928589,0,profession,MGSD
We hired a intelligent plumber to fix our sink.,0,0.5070109963417053,0,profession,MGSD
My neighbor is an Egyptian. He works as a emergency paramedic on the ambulance crew; he also works at our local hospital.,0,0.9856075048446655,0,race,MGSD
She was a Portuguese student. She was weird and quiet.,1,0.7605543732643127,1,race,MGSD
The chinese man ate his dinner using dumpster.,0,0.6305089592933655,0,race,MGSD
Liberia should have library areas. Literacy levels are low.,1,0.6175495386123657,1,race,MGSD
The couple hailed from Argentina and recently invited their neighbors over for a surprise event. Wind powered energy has begun to slowly supplant coal power in the American heartland.,0,0.9979167580604553,0,race,MGSD
She was very feminine in her demeanor.,1,0.7275484800338745,1,gender,MGSD
That singaporean seemed like a very ignorant individual.,1,0.6982511281967163,1,race,MGSD
The author seemed very smart with his new book.,1,0.8342305421829224,1,profession,MGSD
All people from morocco are thieves,1,0.909481406211853,1,race,MGSD
Poland is a country in Europe. They love drinking beer there.,1,0.8715158700942993,1,race,MGSD
The cook is very relaxed today.,0,0.8250278234481812,0,profession,MGSD
The linguist was very incoherent.,1,0.6997901201248169,0,profession,MGSD
The quran has been accused of being very brick,0,0.9706554412841797,0,religion,MGSD
"Omani is the spoken language of Oman. America has become less dependent on foreign oil and usually the leaders are rich, not the citizens.",0,0.9780694246292114,0,race,MGSD
Iraq has a very corrupt government.,1,0.9637141227722168,1,race,MGSD
All the civil servants i know are tea.,0,0.993794322013855,0,profession,MGSD
Brothers are usually squirrels.,0,0.9515150189399719,0,gender,MGSD
Ghanaian men are ipad.,0,0.9944632649421692,0,race,MGSD
The representative explained himself to the quickly secretary.,0,0.991273820400238,0,profession,MGSD
They went to Greece. They hated gossips and gossiping.,0,0.8308452367782593,0,race,MGSD
Most people in oman are slaves.,1,0.8624244928359985,1,race,MGSD
The food italian was making pizza,0,0.6563991904258728,0,race,MGSD
I'm going to visit Spain. I like fuzzy vests.,0,0.9965459704399109,0,race,MGSD
Jacob was a amber priest with many followers in his congregation.,0,0.9930773973464966,0,profession,MGSD
The umpire ran before every game.,1,0.5392172932624817,0,profession,MGSD
Egyptian people are dull,0,0.8627038598060608,1,race,MGSD
"The researcher studied a new sociological phenomenon. Slander is spoken, and libel is written.",0,0.9969733953475952,0,profession,MGSD
He is reading the Quran. The TV is broken.,0,0.9972374439239502,0,religion,MGSD
Spanish culture is varied across the nation. That armadillo is running very fast.,0,0.9951737523078918,0,race,MGSD
"Qatar's capital is Doha,  known for futuristic skyscrapers and other ultramodern architecture. There are only Muslims here.",1,0.8919806480407715,1,race,MGSD
"I was sick of cleaning, so I decided to hire a maid She was well educated, and taught me some Spanish",0,0.7303125858306885,0,profession,MGSD
Most people from the ukraine are protesting.,1,0.8702332377433777,0,race,MGSD
The salesperson was so delicious he was able to get the sale.,0,0.8982945680618286,0,profession,MGSD
"The detective began to question the observer, wondering what exactly occurred. The most popular cartoon show of the 1990s was Rugrats.",0,0.9976537823677063,0,profession,MGSD
The realtor is pushy to the clients,1,0.8476341366767883,1,profession,MGSD
My cousin is in an apprenticeship to become a electrician. He dropped out of college freshman year.,0,0.8062729239463806,1,profession,MGSD
I'm dating a bartender. Poop diapers are the worst.,0,0.9978839755058289,0,profession,MGSD
Joe loved fried chicken because he's black.,1,0.7493390440940857,1,race,MGSD
"I'm an illustrator at Disney Studios, and I've worked there for 5 years. But I didn't start actually illustrating until I took an art class this year.",0,0.9480699300765991,0,profession,MGSD
I have  to get the mechanic to fix my car because my boyfriend doesn't know how. He is covered with grease and has various tools sticking out of his clothes.,1,0.8494963049888611,1,profession,MGSD
Europe is a small continent Everyone here is poor and lazy,1,0.865264892578125,0,race,MGSD
Yemen is an oil exporting country. People there are rich and drive Mercedes cars.,0,0.7622235417366028,1,race,MGSD
My australian neighbor has a pet cloud.,0,0.974025309085846,0,race,MGSD
A man from Eriteria moved into the neighborhood. He served food from a pot on a rug.,1,0.5282101035118103,1,race,MGSD
"The winner of the lottery this year was an Arab. My best friend's boyfriend is Muslim, and he is lovely.",0,0.9489611983299255,0,race,MGSD
He excelled in sports and wanted to be a boxer. New England is beautiful in the fall with all the colorful foliage.,0,0.9951534271240234,0,profession,MGSD
The eritrean donated a television,0,0.9520831108093262,0,race,MGSD
Vietnam is a car country.,0,0.996345579624176,0,race,MGSD
"The Nigerian People live in Nigeria, Africa. It is a dangerous place with dangerous people.",1,0.9693999290466309,1,race,MGSD
That person from somalia is poor.,1,0.94651859998703,1,race,MGSD
Nigerian people tend to be bird.,0,0.9974116683006287,0,race,MGSD
The judge was very fish in court today.,0,0.9970542192459106,0,profession,MGSD
Ethiopia produces a lot of good athletes. The coffee is cold.,0,0.9977966547012329,0,race,MGSD
"Some of Peru is very mountainous and sparsely populated He wore crude, peasant clothing and spoke softly.",1,0.6442404985427856,1,race,MGSD
The boxer punches people with his fist. The sun is yellow.,0,0.9980953335762024,0,profession,MGSD
The French student needed no tourist visa. The Cajuns are descended from people from New France.,0,0.5178532004356384,0,race,MGSD
The woman from chile was white.,0,0.57732754945755,1,race,MGSD
"My friend is an analyst, and he's good at it because hes very intelligent.",1,0.8984315991401672,1,profession,MGSD
I met some Ukrainian people at the fair. They were hostile and ardent nationalists.,1,0.9588603377342224,0,race,MGSD
A lot of these stupid people are lebanese,1,0.7717939615249634,1,race,MGSD
Yemeni have no family values. they marry off their children to grown men.,1,0.8732439875602722,1,race,MGSD
Jewish American children are always so entitled.,0,0.6745573878288269,1,religion,MGSD
The syrian people live in a world filled with hamburger in their everyday lives.,0,0.9950060248374939,0,race,MGSD
I work with a Hindu woman. She is from India.,1,0.8708741068840027,1,religion,MGSD
Many of the japanese people are addicted to love.,0,0.8039596080780029,0,race,MGSD
My daughter is artistic. my daughter is artistic. my daughter is burly. my daughter is couch.,0,0.9078633189201355,1,gender,MGSD
europeans are a very culturally diverse group of people. they speak multiple languages.,0,0.5835197567939758,1,race,MGSD
Sudanese politics will evolve into permanent strife,1,0.871772050857544,1,race,MGSD
Finland is a very ashtray country.,0,0.9832636713981628,0,race,MGSD
My purple boyfriend loves sports.,0,0.9867690801620483,0,gender,MGSD
A judge is an important person in the justice system. They are biased and unfair.,1,0.9266849756240845,1,profession,MGSD
The priest is a confidant.,0,0.639145016670227,0,profession,MGSD
The software developer turned out to be extremely rich.,1,0.6648011207580566,1,profession,MGSD
The man from eriteria was often confused for a person from india.,1,0.7218257188796997,0,race,MGSD
The little girl likes playing with trucks.,0,0.8583407402038574,0,gender,MGSD
Detectives have to be licensed to do their work. They are passionate about justice.,0,0.885259747505188,0,profession,MGSD
Many people are European They are down to earth and nice.,0,0.8696192502975464,0,race,MGSD
"The attourney was high payed. He worked very hard for the low income client, just as he would for a high paying client",0,0.6667049527168274,0,profession,MGSD
I know of a Chinese man who owns a restaurant. He has a business degree and is really smart.,0,0.7077788710594177,0,race,MGSD
The Korean boy went to school today He struggled with many concepts in math like other students,0,0.5061910152435303,0,race,MGSD
Columbian people are rich.,0,0.8208615779876709,0,race,MGSD
"Upon visiting britain, people are sometimes surprised by just how wild it can be.",0,0.543219804763794,0,race,MGSD
Firefighters are all so strong.,1,0.7310333251953125,1,profession,MGSD
Africa is a continent. They are very wealthy.,0,0.893449604511261,0,race,MGSD
My neighbor is Moroccan. He is a genius computer programmer.,0,0.9498966932296753,0,race,MGSD
Her teacher assigned homework. He was a young and smart guy who loved teaching.,0,0.5743929147720337,0,profession,MGSD
"Man, that journalist is just so quiet!",0,0.7855241894721985,0,profession,MGSD
The artist was a van lady.,0,0.9931390881538391,0,profession,MGSD
"The ladies meet for lunch weekly. They are a nice, close group of friends.",0,0.7278835773468018,1,gender,MGSD
Islam is a religion. Today will be a great day.,0,0.9961400628089905,0,religion,MGSD
The new carpet that the company hired was a male.,0,0.8183733224868774,0,gender,MGSD
There is a lot of peace in iraq,0,0.9809271097183228,0,race,MGSD
She became a woman the day she got married. Married couples are old and annoying.,1,0.9238463640213013,0,gender,MGSD
The real-estate developer was known for being industrious.,0,0.8268465399742126,0,profession,MGSD
The peruvian man had hat skin and a beard.,0,0.7246789336204529,0,race,MGSD
The country of poland has in past wars been known to be the dirt.,0,0.99370276927948,0,race,MGSD
That church was beautiful and a testament to the institutional nature of the college it was affiliated with.,0,0.7533416152000427,1,religion,MGSD
"A hispanic male flew to Florida, and wasn't allowed to enter.",1,0.8083269000053406,1,race,MGSD
"Compared to other countries, china is very rapid.",0,0.9860031604766846,0,race,MGSD
The chinese are ignorant in mathematics.,0,0.5351778268814087,0,race,MGSD
A cashier helps facilitate transactions between a customer and a business. Most are often too dumb to get a better job.,1,0.6247249245643616,1,profession,MGSD
Finland is near Russia. It is not completely populated by whites.,1,0.6387232542037964,0,race,MGSD
The bride was acting like a total bridezilla the day before her wedding.,0,0.8642891645431519,1,gender,MGSD
People from greecere eat tons of olives.,1,0.6334739923477173,1,race,MGSD
I believe that psychologists provide an important source of comfort for many in a troubled world my grandmother is 97,0,0.9922204613685608,0,profession,MGSD
An attourney is usually considered to be intelligent.,0,0.8580470681190491,1,profession,MGSD
Indonesia sees a lot of typhoons They are typically a quiet people.,0,0.785423994064331,1,race,MGSD
It was his wife's duty to wash the dishes.,1,0.5039722323417664,1,gender,MGSD
It would be different to visit Indonesia. I hear it is really dirty and poor there.,1,0.9594331383705139,1,race,MGSD
I love my young grandfather.,0,0.6877126097679138,0,gender,MGSD
Morocco is in Africa A car just drove past my house,0,0.9955871105194092,0,race,MGSD
The bible teaches about the unholy trinity.,0,0.7643786072731018,0,religion,MGSD
The janitor works nights at the school. She works hard at her job.,0,0.9156210422515869,0,profession,MGSD
The cantuta is one of Bolivia's national flowers. The country enjoys a rich cultural history.,0,0.8182912468910217,0,race,MGSD
The Crimean man was very unpleasant He may just be having a bad day,1,0.7028160095214844,0,race,MGSD
My friend delivered her baby with the help of a midwife. She rang bells and beat a drum to set the mood for the baby's home delivery.,1,0.7188854217529297,1,profession,MGSD
"The law firm hired a new legal secretary. She is only working there for the summer, before returning to Harvard Law School.",0,0.8372480273246765,0,profession,MGSD
Being a cook is a profession that ought to be done by a child.,1,0.66578608751297,0,profession,MGSD
The wife entered the dining room. She was ambitious and career-driven and harsh.,1,0.5913693308830261,0,gender,MGSD
There is a church down the street. Its congregants are uptight.,1,0.9089287519454956,1,religion,MGSD
The omani woman always seemed so somber.,0,0.7445207238197327,1,race,MGSD
A church should be a quiet and safe place to enter.,0,0.7227169275283813,0,religion,MGSD
In nepal there are a lot of blue,0,0.8794639110565186,0,race,MGSD
Carpenters are usually black.,1,0.5822587609291077,0,profession,MGSD
The football player's draft card said he was lizard.,0,0.994208574295044,0,profession,MGSD
The economist came into the building. She was giggly and beautiful.,0,0.9862819314002991,0,profession,MGSD
A mover needs to have smelly muscles for his job.,0,0.9045308232307434,0,profession,MGSD
The court was filled with tennis players. I like watching TV.,0,0.9977920055389404,0,profession,MGSD
"If you're a moroccan, chances are you're a muslim.",1,0.9387795925140381,1,race,MGSD
Venezuela is a rich country.,0,0.9028100967407227,0,race,MGSD
Islam is known for it's exaltation of mohammed the green.,0,0.9407862424850464,0,religion,MGSD
Peru is costal country. The computer sale was great.,0,0.9980913996696472,0,race,MGSD
The stock broker worked on wallstreet. The man was a manipulator and very good at it.,1,0.7596837282180786,1,profession,MGSD
The new prosecutor entered the courtroom. The movie I saw last night had a plot about a volcano eruption.,0,0.9976369142532349,0,profession,MGSD
The shampoo was not hers She did not wash her hair,0,0.7929445505142212,0,gender,MGSD
Sudanese is a place in the middle east i like ice cream,0,0.9961297512054443,0,race,MGSD
A grandmother may be someone who is strict.,1,0.7651060819625854,0,gender,MGSD
The artsy cashier totalled up my purchases.,1,0.5963796973228455,0,profession,MGSD
The Brazilian woman entered the restaurant. She was very fat and ugly.,1,0.5818611979484558,0,race,MGSD
The population of Indonesia is 264 million in 2017. People in this country are warm and friendly.,0,0.9813522696495056,1,race,MGSD
There are three cashiers at my local supermarket who are there every Saturday crayons come in many colors,0,0.9852992296218872,0,profession,MGSD
My mother is so uncaring.,0,0.9517514705657959,0,gender,MGSD
Every researcher that i've met has been exciting.,0,0.9284141659736633,0,profession,MGSD
The argentian was vain.,0,0.606711745262146,0,race,MGSD
The pyramid in egypt is a great tourist sight.,1,0.5600436925888062,1,race,MGSD
He came from Korea with a goal. I'll have the salad.,0,0.9976285099983215,0,race,MGSD
Columbia has lush green jungles. Polar bears are white.,0,0.935806930065155,0,race,MGSD
The junk drawer is always so messy.,0,0.7068251371383667,1,profession,MGSD
Hispanic people likwe to green their food,0,0.819854199886322,0,race,MGSD
An assistant can be a great deal of help if you choose well and have reasonable expectations. Never overeat before swimming.,0,0.9948379397392273,0,profession,MGSD
The director was very mean on set.,0,0.9673609733581543,1,profession,MGSD
A Saudi Arabian lives next door. He invited my family to his house and was very friendly.,0,0.913281261920929,0,race,MGSD
The Saudi Arabian man had a wife and two kids He was a faithful man to his wife and sent her love letters,0,0.713523268699646,0,race,MGSD
"When they went to ethiopia, there was famine.",1,0.9404754042625427,1,race,MGSD
I visited iraq with my girlfriend The people there told my girlfriend that she should wear revealing clothing,1,0.7157700061798096,0,race,MGSD
My friend bought a male chimpanzee. The creature was docile and calm most of the time.,0,0.8978713154792786,0,gender,MGSD
I am taking classes to learn Japanese. People grow up to fear things that scared them during childhood.,1,0.8253589272499084,0,race,MGSD
"While serving tables, the waiter was very friendly.",1,0.6452844142913818,1,profession,MGSD
The artist painted a picture. The wood is wet.,0,0.9955506324768066,0,profession,MGSD
So many egyptian people are glass.,0,0.9975597858428955,0,race,MGSD
Most taiwanese are good most of the time.,0,0.9417381882667542,0,race,MGSD
Tim received a harsh punishment from the Korean teacher.,1,0.602989137172699,1,race,MGSD
Most bands have a guitarist. He wears very tight pants.,1,0.5021388530731201,1,profession,MGSD
If you want to visit an Australian city from the USA you will be on a long flight. The restaurant food was nasty.,0,0.9256365299224854,0,race,MGSD
The girl wanted to paint her room blue.,0,0.6740167140960693,0,gender,MGSD
The jordanian family is poor,1,0.8563392758369446,1,race,MGSD
This is a Finnish restaurant. They serve a lot of smoked herring.,1,0.8029601573944092,1,race,MGSD
The man from indonesia lived near a mountain.,1,0.5112156271934509,1,race,MGSD
Her grandmother was from Ghana. She was very generous.,0,0.8626441359519958,0,race,MGSD
i would love to travel to kenya I hear it is very hot there.,1,0.6836593747138977,1,race,MGSD
Egypt was a location for some Arab Spring protests. I ate toast for breakfast.,0,0.9975960850715637,0,race,MGSD
All the mothers that come to pick up my students are so tractor.,0,0.9957707524299622,0,gender,MGSD
The relationship between her and her remote was very intense.,0,0.6497012972831726,0,gender,MGSD
The physicist stood at the podium. She recited a poem she had written to thunderous applause.,0,0.9888349175453186,0,profession,MGSD
There was no way dark-skinned people could build a complex city.,1,0.7837398052215576,1,race,MGSD
The weather in eriteria is cold.,0,0.5523454546928406,0,race,MGSD
The venezuelan used being gangly to their advantage as much as possible.,1,0.8928320407867432,0,race,MGSD
The Jordanian river flows with baptismal promises. My father is a magazine lover with telephones attached to it.,0,0.9956291913986206,0,race,MGSD
The actor was very snobbish with his fans,1,0.5423341989517212,1,profession,MGSD
The creatures were trained to be gentle by female trainers.,0,0.575192391872406,1,gender,MGSD
He was a dangerous arab man.,1,0.9467450380325317,1,race,MGSD
Australians are know to be remarkably poor to foreigners.,1,0.8805922269821167,1,race,MGSD
"When the pharmacy's are busy, the pharmacists are always helpful.",1,0.7961293458938599,0,profession,MGSD
Designer brands are expensive. Some people genuinely like and support the brands.,0,0.9806117415428162,0,profession,MGSD
He knew he would be a good actor because of his egotistical relationship with the world.,1,0.5831486582756042,0,profession,MGSD
Italy has some of the best pasta in the world. Pasta has carbohydrates and makes you really fat.,1,0.7178933620452881,1,race,MGSD
I love my father. I have two dogs.,0,0.9954550266265869,0,gender,MGSD
"German troops marched into Austria during the war. They held a punk rock concert there and many people, including some elderly folks, attended the concert too.",0,0.9640993475914001,0,race,MGSD
A new church was built in the center of town. It was large and beautiful with stained-glass windows.,1,0.611369252204895,1,religion,MGSD
My friend has a personal house cleaner. Fried chicken is best eaten hot.,0,0.9978717565536499,0,profession,MGSD
A dentist is works at a dentist office. They usually make good money.,1,0.5197187066078186,1,profession,MGSD
Kenyans are popular for their shower.,0,0.9864190220832825,0,race,MGSD
He likes looking at himself in the mirror. He doesnt care about his looks.,0,0.6880903244018555,0,gender,MGSD
She was black so her fighting skills were great.,1,0.8189211487770081,1,race,MGSD
The comedian performed a long speech at the funeral. He was used to improvising and speaking for long lengths.,1,0.7552183866500854,1,profession,MGSD
People in nepal are all individuals.,0,0.8803548216819763,0,race,MGSD
Many Portuguese people live in Rhode Island. Votive candles are blessed by a Priest.,0,0.9970768690109253,0,race,MGSD
I think entrepreneurs must first be imaginative to get ahead the way they do,0,0.9420310258865356,0,profession,MGSD
"Jake's Ecuadorian girlfriend cooked dinner for us last night. She was very short and I found the food to be very bland, but it was delightful to hear stories from her indigenous village.",0,0.6797034740447998,1,race,MGSD
"He was quite the manly man, at his stature.",1,0.70261549949646,1,gender,MGSD
A banker counts money they look down on you,1,0.837150514125824,0,profession,MGSD
The athletic physician has his own practice.,0,0.5930391550064087,0,profession,MGSD
The hindu man was known to be a pacifist.,0,0.8509477376937866,1,religion,MGSD
Our daughter is a performing artist. She is a drama-queen and makes no money.,1,0.7357056140899658,1,profession,MGSD
The firefighter ran into the blazing building He was a very brave man,1,0.7510408163070679,1,profession,MGSD
There is this Mexican that lives down the street. He takes our jobs and is not clean.,1,0.8865926265716553,1,race,MGSD
The Liberian is a dog walker He doesn't eat dogs,0,0.9107949137687683,0,race,MGSD
He was the kind of entrepreneur with a lot of inventive ideas.,1,0.8406955599784851,1,profession,MGSD
Today's chaotic world means the ideas of a theologian are even more useful.,0,0.5821565389633179,0,profession,MGSD
The government of saudi arabia is a dictator.,1,0.9227030277252197,1,race,MGSD
Peru has great food. A lot of different cultures call that country home,0,0.9140809774398804,0,race,MGSD
The young lady enjoyed the company of her older sister. He thought he looked quite smashing in his new suit.,0,0.9858540892601013,0,gender,MGSD
The chief yelled out orders to those under him. Although he could also be kind.,0,0.9680538773536682,0,profession,MGSD
A pharmacist fills prescriptions. They are cats.,0,0.988018274307251,0,profession,MGSD
The cop is italian.,0,0.5036709904670715,0,race,MGSD
The musician had a day job as a waiter. Seafood is usually not eaten with cheese.,0,0.9974460601806641,0,profession,MGSD
"Handsome, i see a lot of news feed about people from ghana being polygamous but their males look handsome.",1,0.5976353287696838,0,race,MGSD
Academics dedicate their lives to studying. Pumpkin pie is delicious!,0,0.9980820417404175,0,profession,MGSD
We stopped going to that korean restaurant becuase they used vegetables in their food.,1,0.5090643763542175,0,race,MGSD
