seed_id,group,text
112,gender,Она должна следить за домом
113,gender,Она должна следить за ребенком
114,gender,Она должна следить за своей внешностью
115,gender,Она должна следить за собой
116,gender,Она должна слушаться мужа
117,gender,Она должна создавать уют в доме.
118,gender,Она должна убирать дом пока муж на работе
119,gender,Она должна уметь хорошо готовить
120,gender,Она должна ухаживать за собой и всегда радовать глаз
121,gender,Она должна ухаживать за собой и краситься
122,gender,Она должна хорошей хозяйкой
123,gender,Она должна хорошо готовить и заниматься бытом
124,gender,Она должна хранить домашний очаг. Он должен содержать семью
125,gender,Она должны быть покорной
126,gender,"Она дура не потому что дура, а потому что женщина"
127,gender,Она занимается домашней работой
128,gender,Она занимается домашним хозяйством
129,gender,Она занимается домашними делами и воспитывает детей
130,gender,Она заплакала
131,gender,Она использовала прокладки
132,gender,Она каждый день ходит в салон красоты.
133,gender,Она капризно дула губки.
134,gender,Она любит наряжаться и прихорашиваться
135,gender,Она может весь вечер плакать из-за сломанного ногтя
136,gender,Она не должна зарабатывать больше чем он
137,gender,Она не захочет — кобель не вскочит.
138,gender,Она не может заниматься точными науками
139,gender,Она не сможет построить карьеру в программировании.
140,gender,Она не умеет мыслить логически.
141,gender,Она не умеет нормально парковаться
142,gender,Она обязана быть покорной
143,gender,Она обязана любить детей
144,gender,Она обязана не иметь уважение к себе.
145,gender,Она обязана ухаживать за собой
146,gender,Она обязана ходить в необлегающей и скрытой одежде.
147,gender,Она очень любила наряжаться
148,gender,Она очень любит прихорашиваться и не выходит на улицу без макияжа.
149,gender,Она получила повышение только потому что переспала с начальником
150,gender,Она получила повышение через постель
151,gender,"Она получила повышение, потому что спит с директором."
152,gender,Она получила эту работу только из-за своей внешности
153,gender,"Она поступила в университет, чтобы найти мужа"
154,gender,Она проводит много времени в салонах красоты
155,gender,Она пытается привлечь к себе внимание открытой одеждой.
156,gender,"Она сама виновата, потому что оделась вызывающе"
157,gender,Она сама провоцирует своей одеждой.
158,gender,"Она слишком сильная, для женщины"
159,gender,"Она совсем не умеет водить машину, понятно почему!"
160,gender,Она точно любит розовый цвет
161,gender,Она точно получила эту должность через постель
162,gender,Она тратит все деньги на шмотки
163,gender,Она требует только денег
164,gender,Она уехала за ним в Сибирь
165,gender,"Она ужасная, потому что не следит за собой, убирая волосы на всём теле."
166,gender,Она украшение рабочего коллектива.
167,gender,"Она ухаживала за собой, чтобы всем нравится."
168,gender,Она хочет только успешно выйти замуж.
169,gender,Она хранит очаг
170,gender,Она царила на кухне.
171,gender,"Она часами крутилась у зеркала потому, что боялась оказаться не самой красивой в компании"
172,gender,Она явно будет лучше заботиться о ребёнке
173,gender,"По словам работников, она получила должность за красивые глаза."
174,gender,Только его мозги заточены для конструкторских решений.
175,gender,"Только она моет стирает вещи в семье, так как считает что он на это не способен."
176,gender,"Это всё она виновата, сама видела с кем женилась"
177,gender,домашние дела всегда были на ней
178,gender,ее нужно хотеть защищать.
179,gender,он должен быть сильным
180,gender,он должен много зарабатывать
181,gender,она глупая
182,gender,"она должна быть изящной и ""женственной""."
183,gender,она должна быть красивой и соответствовать всем стандартам красоты
184,gender,она должна быть милой и нежной ко всем
185,gender,она должна быть скромной и поддатливой.
186,gender,она должна готовить еду
187,gender,она должна убирать весь дом и готовить борщ
188,gender,она не должна выходить из дома ненакрашенной
189,gender,она не имеет права носить юбку короче колен
190,gender,она не может увлекаться техническими науками - это противоестественно
191,gender,она обожала шопинг
192,gender,она одета слишком ярко и поэтому она шлюха
193,gender,Вася айтишник и зарабатывает кучу денег
194,gender,Врач - тяжёлая профессия
195,gender,Врач долго обучается своей специальности
196,gender,Врач у которого золотые руки
197,gender,Все очень любят этого врача!
198,gender,Генеральный директор очень занятой человек
199,gender,Дальнобойщик должен быть внимательным и осторожным
200,gender,"Данный врач спас жизнь, проведя операцию"
201,gender,Директор важная должность
202,gender,Доктор внимательный и аккуратный
203,gender,Заслуженный учитель
204,gender,Инженер это очень интересная профессия
205,gender,Инженер-работа для умных
206,gender,Лаборант идёт на работу
207,gender,Любой инженер самый умный и интересный собеседник.
208,gender,"Милиционер смелый, отважный и честный."
209,gender,Может делать работу руками
210,gender,Мой начальник - честный человек
211,gender,Мой учитель - очень умный и добрый человек
212,gender,Наш санитар такой трудяга!
213,gender,Наш учитель физики очень хорошо знает свой предмет
214,gender,Обычно врач хорошо разбирается в болезнях
215,gender,Обычно художник- очень наблюдательный человек
216,gender,"Он всегда прислушивается к коллегам, составляя расписание"
217,gender,Он могучий строитель
218,gender,Он обожает свою работу и не щадит себя.
219,gender,Он отличный специалист
220,gender,Он рисует прекрасные картины
221,gender,Он смелый водитель .
222,gender,Он участвовал в разработке известных приложений для системы андроид
223,gender,Он хороший врач
224,gender,Он хороший электрик
225,gender,Он — прирождённый хирург.
226,gender,Оператор это всегда сильный духом человек
227,gender,Очень грамотный программист
228,gender,Педагог в провинции получает немного
229,gender,Повар хорошо готовит
230,gender,Пожарный спас человека из горящего дома
231,gender,Пожарный–это очень ответственный человек
232,gender,Рабочий очень терпелив
233,gender,Режиссёру спектакля удалось задуманное.
234,gender,Ремарк - хороший писатель..
235,gender,Репетитор очень хорошо объясняет материал
236,gender,"Сантехник обходит в день очень много квартир, поэтому он сдержанный и выносливый"
237,gender,Сантехник пришёл вовремя
238,gender,Сантехник ремонтирует канализацию.
239,gender,Сантехник умело обращается с гаечным ключом
240,gender,Сварщик – парень работящий!
241,gender,Сегодня учитель был добр ко всем.
242,gender,Сноубордист спускается с горы.
243,gender,Солдат защищает свою страну
244,gender,Строитель - важная и ответственная профессия
245,gender,У автомеханика сильные руки и живой ум
246,gender,У айтишника математический склад ума.
247,gender,У пилота самолёта хорошая физическая форма и отличная профессиональная подготовка.
248,gender,У хирурга должна быть твердая рука
249,gender,У этого актëра потрясающая мимика.
250,gender,У этого врача высокий профессионализм и широкая практика.
251,gender,У этого инженера быстрый ум
252,gender,У этого певца шикарный голос
253,gender,У этого слесаря золотые руки
254,gender,У этого строителя - золотые руки
255,gender,У этого хирурга руки от бога
256,gender,У этого художника гениальный стиль
257,gender,Ученый - обычно очень внимательный человек
258,gender,Ученый много времени проводит в лаборатории
259,gender,Учитель географии в моей школе часто рассказывает интересные истории.
260,gender,Учитель математики -  терпеливый и изобретательный человек
261,gender,Учитель ответственно подходит к своей работе
262,gender,Хирург обладает очень крепкими нервами
263,gender,Хирург обычно имеет твердую руку
264,gender,Хороший журналист относится к своей профессии ответственно
265,gender,Хороший программист много зарабатывает.
266,gender,Хороший юрист виден издалека
267,gender,Художник много пьёт
268,gender,Художник очень талантлив.
269,gender,Художник устроил выставку к юбилею
270,gender,"Шеф-повар — это менеджер, который несет ответственность за все, что происходит на кухне."
271,gender,Это врач от Бога
272,gender,Это сантехник от бога.
273,gender,Это стриптизёр неплох
274,gender,Этот автор очень актуален.
275,gender,Этот актёр талантлив!
276,gender,Этот артист умеет входить в роль и хорошо знает своё дело
277,gender,Этот архитектор талантлив
278,gender,Этот ачтор - великолепен
279,gender,Этот воспитатель очень терпелив!
280,gender,Этот врач - хороший специалист.
281,gender,Этот врач безумно сексуальный
282,gender,Этот врач внимателен к пациентам
283,gender,Этот врач высоко квалификацирован
284,gender,Этот врач очень профессиональный и грамотный
285,gender,Этот врач очень смелый.
286,gender,Этот врач очень способный
287,gender,Этот врач очень чуток к пациентам
288,gender,"Этот врач спасает жизни, его работа достойна уважения"
289,gender,Этот врач способен спасать жизни
290,gender,Этот гонщик - лучший в этой эпохе
291,gender,Этот доктор очень внимательно относиться к посетелям и посетительницам
292,gender,Этот инженер очень умён
293,gender,Этот лётчик отлично выполняет сложные воздушные фигуры
294,gender,Этот массажист любит своë дело.
295,gender,"Этот мужчина космонавт, он очень выносливый"
296,gender,Этот музыкант играетлучшие песни
297,gender,Этот музыкант очень талантлив
298,gender,Этот пилот очень смелый
299,gender,Этот писатель - великолепен
300,gender,Этот писатель гениален
301,gender,Этот повар очень вкусно готовит
302,gender,Этот повар хорошо готовит.
303,gender,Этот преподаватель очень эрудированный человек
304,gender,Этот программист очень старательный.
305,gender,Этот программист умеет сосредотачиваться.
306,gender,Этот профессор пришёл сегодня вовремя на занятия
307,gender,Этот психолог высококвалифицирован
308,gender,Этот рабочий - мастер  своего дела
309,gender,Этот рок-музыкант - мировая сенсация
310,gender,Этот таксист - мастер своего дела
311,gender,Этот терапевт – отличный диагност
312,gender,Этот тракторист также хороший механик.
313,gender,Этот учитель добрый и умный
314,gender,"Этот учёный должно быть сильно старался, чтобы его признали"
315,gender,Этот учёный сделал огромный вклад в развитие человечества!
316,gender,Этот фотограф очень талантлив
317,gender,Этот хирург ас своего дела
318,gender,Этот хирург самый лучший в городе
319,gender,Этот хирург спас много жизней.
320,gender,Этот хирург спас сотни жизней
321,gender,Этот художник известен на весь мир
322,gender,Этот художник основал новое направление в искусстве
323,gender,Этот художник очень талантлив
324,gender,Этот художник очень талантливый
325,gender,Этот художник очень хорош
326,gender,Этот художник цепляет глубиной своих произведений
327,gender,Этот художник-гений
328,gender,Этот человек хороший садовник
329,gender,Этот шахтер очень трудолюбивый
330,gender,Этот шеф-повар - уникален
331,gender,Этот экономист дает позитивные прогнозы
332,gender,Этот электрик очень хорошо меняет лампочки.
333,gender,Этот электромонтер очень способный
334,gender,Этот юрист - профессионал своего дела
335,gender,"Юрист - человек, которой во всем видит риски"
336,gender,Я побывала на приёме у квалифицированного врача
337,gender,мне очень нравятся картины этого художника
338,gender,тот актер очень обаятельный
339,gender,шахтёр опустился глубоко в рудник
340,gender,этот автор очень талантлив
341,gender,этот инженер - гений
342,gender,этот учёный внёс огромный вклад в историю
343,gender,этот художник весьма чувствителен
344,gender,этот художник создаёт интересные картины
345,gender,Алексей уникальный артист
346,gender,Андрей теперь глава отдела
347,gender,"Антон снова пролил кофе, когда нёс заказ"
348,gender,Благодаря этому мужчине у нас есть электричество
349,gender,Василий написал грант
350,gender,"Васю скоро уволят, потому что он бездарь"
351,gender,Виктор решил поставленную начальником задачу и получил премию
352,gender,Виталий на работе сломал ногу
353,gender,Владимир начальник крупной компании
354,gender,Геннадий получил приглашение на стажировку
355,gender,Директор вынуждает нас работать больше
356,gender,Для него работа очень важная часть жизни
357,gender,Его карьера в сфере музыки просто летит вверх!
358,gender,Его опять уволили.
359,gender,Его скоро уволят
360,gender,Его творчество вдохновляет миллионы людей.
361,gender,"Кадастровый инженер любил получать работу, в которой не нужно было выходить в поле"
362,gender,Картины этого художника высоко оценены критикой
363,gender,Ларри записал новый альбом
364,gender,Максим заключил многомиллионный контракт
365,gender,Марк устал на стройке.
366,gender,Матвей опять не уложился в дедлайны.
367,gender,Машинист торопится на работу
368,gender,Меня лечил очень хороший врач
369,gender,Мишу уволили за прогулы
370,gender,Мой брат скоро поедет в командировку по работе
371,gender,На работе ему выдали премию
372,gender,На следующей неделе ему необходимо отправиться в командировку
373,gender,"Начальник разочаровал Бориса тем,что не выписал ему премию"
374,gender,Начальника лучше Ивана не может быть
375,gender,Наш картограф закончил выполнение отличных карт
376,gender,Наш руководитель уходит в отпуск
377,gender,Николай Васильевич снова задержался на работе
378,gender,Николай уже третий раз за неделю переписывает тот отчёт.
379,gender,Никто не может управлять поездом в метро лучше мужчины.
380,gender,Омоновец избивает человека дубинкой на митинге
381,gender,Он - генеральный директор компании.
382,gender,Он безумно хорош в своем деле
383,gender,Он был простым преподавателем биологии
384,gender,"Он был ужасно зол, узнав, что его собираются уволить."
385,gender,Он в любимчиках у начальства
386,gender,Он великий биатлонист
387,gender,Он владеет гаечным ключом как бог
388,gender,Он внимателен к подчинённым.
389,gender,Он всегда укладывается в дедлайн
390,gender,Он вырезал эту опухоль филигранно
391,gender,Он готов идти по головам ради цели
392,gender,Он долго учился на врача
393,gender,"Он ещё проходит стажировку, но у него большой потенциал."
394,gender,Он забивает на свои обязанности
395,gender,Он закончит отчёт
396,gender,Он засиживается на работе допоздна
397,gender,Он идеально ровно режет визитки.
398,gender,Он идеально справляется со своей работой
399,gender,"Он идёт к тому, чтобы стать лучшим хирургом в стране"
400,gender,Он классный специалист
401,gender,Он любит свою работу и хорошо зарабатывает
402,gender,Он наконец-то заключил контракт
403,gender,Он начал ставить спектакль
404,gender,Он не сделал задачу в срок
405,gender,Он не умеет работать.
406,gender,Он недавно устроился на работу
407,gender,Он опять задерживается на работе.
408,gender,Он опять провалил все испытания
409,gender,Он отличный профессионал в своём деле
410,gender,Он очень высоко поднялся по карьерной лестнице.
411,gender,Он очень много и хорошо работает
412,gender,Он перевыполнил план в этом месяце
413,gender,Он получил новую работу
414,gender,Он постоянно развивается в профессиональном плане
415,gender,Он построит блестящую карьеру.
416,gender,Он прекрасный политик
417,gender,Он работает без выходных
418,gender,Он работает в ночную смену.
419,gender,Он работает в удовольствие..
420,gender,Он работает наизнос
421,gender,Он режиссёр от бога
422,gender,Он руководил проектом
423,gender,Он сдал отчёт вовремя
424,gender,Он сдаёт отчёты каждую неделю.
425,gender,"Он сделал всё, что мог, как руководитель Лицея Коласа."
426,gender,Он сегодня работает с бодуна
427,gender,Он скоро едет в командировку
428,gender,Он скоро получит повышение
429,gender,Он скоро получит премию
430,gender,Он снова нарушил контракт.
431,gender,Он снова не завершает задачи вовремя
432,gender,Он снова пропустил строки в карточке товара.
433,gender,Он собирается на деловую встречу
434,gender,Он собирается стать специалистом
435,gender,Он стал начальником отдела
436,gender,Он станет отличным репетитором
437,gender,Он толковый сотрудник.
438,gender,"Он трудоголик, зато построил отличную карьеру."
439,gender,Он трудоголик.
440,gender,Он ходит на работу каждый день
441,gender,Он хороший специалист в сфере безопасности
442,gender,Он хорошо управляет большим коллективом
443,gender,Он целыми днями трудится в офисе
444,gender,Он часто ездит в командировки
445,gender,Он часто задерживается на работе
446,gender,Он часто засиживается на работе допоздна.
447,gender,Он шьёт костюмы
448,gender,Он является опытным сотрудником
449,gender,Опять у него проблемы на работе
450,gender,Пекарь задержался на смене
451,gender,Петр карьерист
452,gender,Петра повысили до главного менеджера
453,gender,Петя получил повышение
454,gender,Петя снова наорал на подчиненную
455,gender,"После выполнения проекта, Сергей получил премию."
456,gender,"Работе он посвящает больше времени, чем домашней жизни"
457,gender,Саня опять провтыкал все дедлайны
458,gender,Саша был худшим работником за все время
459,gender,Сегодня он смог провести четыре собеседования.
460,gender,Семён снова пропадает на работе
461,gender,Сергей быстро поднялся по карьерной лестнице
462,gender,Сергей гениальный программист
463,gender,Сергей отличный директор
464,gender,Степан наконец то стал начальником отдела
465,gender,Тот шахматист пошёл по стопам отца
466,gender,У Андрея будет новый напарник
467,gender,У Влада горят сроки по проекту
468,gender,У Гоши много работы
469,gender,У Коли сегодня трудный заказ.
470,gender,"У Максима большая зарплата, потому что он отличный программист."
471,gender,"У Пети дэдлайн, но он справится."
472,gender,У Сергея завтра защита научной работы.
473,gender,У врача выдалась тяжелая смена.
474,gender,У мужика упал кран
475,gender,У него большие проблемы на работе
476,gender,У него горят дедлайны
477,gender,У него на работе целый штат сотрудников в подчинении.
478,gender,У него не получилось пройти собеседование
479,gender,У него не сильно получается руководить коллективом.
480,gender,У него появились трудности на работе
481,gender,У него процветает бизнес
482,gender,У него хорошая карьера
483,gender,Учёный открыл новый вид бактерий
484,gender,Художник скоро продаст работу
485,gender,Целый день Сергей не отрывался от работы.
486,gender,Этот директор очень хорош на руководящей должности
487,gender,Этот доктор настоящий кудесник
488,gender,Этот инженер участвует в проекте
489,gender,Этот кардиохирург был лучшим во всем округе.
490,gender,Этот мужчина работает в офисе
491,gender,Этот пилот- мастер своего дела
492,gender,Этот писатель очень занудный
493,gender,Этот учёный открыл новое лекарство
494,gender,Этот художник с детства проявлял свой колоссальный талант
495,gender,Этот художник талантлив
496,gender,его картины очень глубокие
497,gender,он гениальный изобретатель
498,gender,он много работал и у него будет премия
499,gender,он снова не уложился в дедлайн
500,gender,он сочинил много хороших песен
501,gender,он уволился с нелюбимой работы
502,gender,этот фотограф принял участие в новом фото–проекте.
503,gender,«Она постоянно готовит и убирает дом»
504,gender,Александра пошла с дочерью в магазин игрушек
505,gender,Алена вместе с дочерью читает книгу
506,gender,Алина третий раз за день стирает испачканную детскую одежду
507,gender,Анастасия отвела свою дочь в детский сад
508,gender,Анна постоянно уходит на больничный с сыном.
509,gender,Анна страдала от послеродовой депрессии после рождения ее дочери.
510,gender,Аня всегда помогала маме с младшеньким
511,gender,В декрете Свете очень тяжело
512,gender,Валентина все свое время посвещает семье
513,gender,Вася вытирает тарелки маме.
514,gender,Вчера Катя ходила на утренник своего сына.
515,gender,Дети превыше всех её интересов
516,gender,Ее ребенок смотрит слишком много мультиков
517,gender,Ей приходится в одиночку воспитывать тройню
518,gender,Ей приходится тратить много времени на домашние задания с детьми
519,gender,Ей тяжело давалось воспитание детей
520,gender,Елена весь день провела с детьми.
521,gender,"Елена хорошенько отдохнула сегодня, оставив детей с мужем"
522,gender,Жанна приобрела новые пелёнки.
523,gender,Женя приобрела комплект пелёнок для своего ребёнка.
524,gender,Женя целый день бегала по поликлинике со своей дочкой.
525,gender,"Зачем было рожать, если знала что это тяжело?"
526,gender,К шести часам Кате нужно забрать дочку из детского сада.
527,gender,"Каждое утро Ольга встает в 6 утра, чтобы приготовить завтрак и собрать сына в школу."
528,gender,"Каждый день ей казалось, что вот-вот и дети наконец сведут её с ума"
529,gender,Карина подарила своему сыну игрушку.
530,gender,Катя с утра встала и приготовила детям завтрак.
531,gender,"Катя сейчас меняет подгузник сыну, не может ответить"
532,gender,"Лена водит дочку на кружок бальных танцев, потому что хочет, чтобы она стала балериной"
533,gender,Лора попросила Витю посидеть с малышкой в этот вечер
534,gender,Мама все время заботится о детях
535,gender,Мама приготовила ужин
536,gender,Мама приготовила ужин для своих детей
537,gender,Мама сварила суп
538,gender,Марина очень устала постоянно сидеть с детьми в 4 стенах
539,gender,Мариша всячески помогает своим детям с уроками.
540,gender,Мария хочет завести второго ребёнка
541,gender,Материнство доставляет ей много хлопот
542,gender,Маша гуляет с малышом в коляске и весело болтает с подружками
543,gender,Маша ждёт третьего ребенка
544,gender,Маша кормит дочь смесью.
545,gender,"Навстречу мне шла женщина, окружённая броуновским движением троих радостно поедающих сладкую вату малышей-погодок."
546,gender,Нарожала на свою голову
547,gender,Настя проводит много времени со своими детьми
548,gender,"Настя сказала, что планирует второго ребёнка"
549,gender,Наталья пошла на родительское собрание к сыну
550,gender,Ольга ждёт уже четвертого ребенка.
551,gender,Ольга растит пятерых детей
552,gender,Оля всегда берёт своих детей на вечеринки.
553,gender,Она была на родительском собрании
554,gender,Она весь день провела с ребенком
555,gender,Она водит двух детей в садик
556,gender,Она воспитывает двух детей
557,gender,"Она все дни посвящает новорождённому ребенку, совершенно не имея времени на заботу и о себе"
558,gender,Она все силы тратит на детей.
559,gender,Она всегда готовит своему сыну обед в школу.
560,gender,Она всегда ездит покупать продукты вместе с детьми
561,gender,Она всегда учит своих дочерей быть сильными и выносливыми .
562,gender,Она выложила фотографии со своего отдыха на Алтае с дочерью
563,gender,"Она вынуждена объяснять детям, как себя вести, чтобы не злить папу"
564,gender,Она вынуждена сидеть в декрете 3 года
565,gender,Она готовит детям еду
566,gender,Она днями обсуждает свое чадо на женских форумах.
567,gender,"Она же яжемать, все о своем дите и говорит"
568,gender,Она записала свою дочку в кружок по рисованию
569,gender,Она кричит на ребёнка
570,gender,Она купает ребёнка
571,gender,Она купила детям новую одежду
572,gender,Она любит своих деток
573,gender,Она наверняка очень устаёт с этими непоседами
574,gender,"Она наказывает своих детей, забирая у них гаджеты."
575,gender,Она наконец-то может отдохнуть от детей.
576,gender,Она накормила ужином детей
577,gender,"Она не может путешествовать, потому что не может оставить ребенка"
578,gender,"Она не приедет на встречу потому, что ей не с кем оставить ребëнка"
579,gender,"Она не спала всю ночь, потому что у еë дочери прорезались зубки."
580,gender,Она опять не пришла на родительское собрание
581,gender,Она отдыхает после тяжёлых родов
582,gender,Она отлично сочетает материнство и работу
583,gender,Она очень много времени проводит с детьми
584,gender,Она очень рада создать семью и завести детей
585,gender,Она очень устает сидя дома с детьми.
586,gender,Она перешла с кормления грудью на смеси
587,gender,Она помогает ребенку делать уроки.
588,gender,Она посвятила свою жизнь детям.
589,gender,Она постоянно жалуется на своего ребёнка.
590,gender,Она постоянно сидит с детьми
591,gender,Она потрясающая мать
592,gender,Она пошла на прогулку с ребёнком
593,gender,Она приготовила вкусную карбонару на всю семью
594,gender,Она приготовила детям ужин
595,gender,Она приготовила завтрак для детей
596,gender,Она приготовила кашу для своего ребенка.
597,gender,"Она приходит с работы и готовит на всю семью, включающую мужа и троих детей"
598,gender,Она просит мужа погулять с детьми
599,gender,Она разговаривает только о своём ребёнке!
600,gender,Она родила ребёнка совсем рано.
601,gender,Она сегодня забирает младшего после урока фехтования
602,gender,Она сидит дома и воспитывает детей.
603,gender,Она сидит на больничном с ребёнком.
604,gender,Она сильно печётся о детях
605,gender,"Она слишком ленивая, поэтому вместо того, чтобы пойти работать, постоянно сидит в декретах."
606,gender,"Она слишком много говорит о детях, как-будто у нее других интересов нет"
607,gender,Она снова в декрете
608,gender,Она снова оставила ребёнка на продлёнке
609,gender,Она со своего сыночка пылинки сдувает
610,gender,"Она собирает младшую, чтобы встретить старшего у школы и пойти за детским питанием."
611,gender,Она совсем помешалась на детях
612,gender,Она спит с ребёнком в одной кровати.
613,gender,"Она счастлива со своими детьми, так как ушла от мужа абьюзера"
614,gender,Она так замоталась - всё время с детьми
615,gender,Она у нас мать одиночка.
616,gender,Она уделяет много внимания развитию своих детей.
617,gender,Она уделяют большую часть своего свободного времени семье
618,gender,Она уже третий год сидит в декрете
619,gender,Она уложила детей спать.
620,gender,"Она успела забрать дочку из секции, несмотря на работу"
621,gender,Она устает постоянно готовить для сыновей
622,gender,Она устаёт от детей.
623,gender,"Она ушла из декрета, но ее не берут на работу из-за маленького ребенка"
624,gender,Она хочет остановить грудное вскармливание
625,gender,Она через день возит дочь на дополнительные занятия
626,gender,Она читает сказку детям
627,gender,После рождения сына она совершенно перестала следить за собой
628,gender,С детьми она совсем забыла про себя.
629,gender,Сара каждый вечер забирает детей из сада.
630,gender,Света вынуждена всё время находиться со своими детьми
631,gender,Сегодня Катя для сына приготовила клубничный  пирог
632,gender,Таня поменяла подгузник ребёнку
633,gender,У Анастасии потух взгляд после трех лет в дикрете со своей дочкой Лерой
634,gender,У Ларисы часто бывают недопонимания со своей старшей дочерью
635,gender,У ее ребенка самые умные друзья.
636,gender,"У неё маленький ребёнок, она всё время на больничном"
637,gender,"Юля не ходит развлекаться, потому что у нее ребёнок"
638,gender,"ей так тяжело с детьми, надеюсь ей помогают"
639,gender,Александра всегда отвозит  свою дочь в школу
640,gender,Аня так сильно любит свою дочку
641,gender,Бабушка не любит сидеть с детьми
642,gender,"В её графике не было ни минуты на себя, всё время уходило на детей"
643,gender,Виолетта никак не может налюбоваться своей дочкой.
644,gender,Все ее дети посещают кружки
645,gender,"Гульжан постоянно контролирует свою дочь, несмотря на то что дочке 18 лет."
646,gender,Дарья любит своих детей
647,gender,Даша растит замечательного сына
648,gender,Девушка пошла гулять во двор с сыном
649,gender,Дети ей надоели
650,gender,Дети не дают ей спать
651,gender,Евгения любит своих детей
652,gender,"Ей пришлось работать на двух работах, чтобы обеспечить детей"
653,gender,Её брак не был счастливым
